Opto 3 Onset,Opto 3 Offset,obs.duration,frames,desired.frames,curr_delay,intended_delay,frame_count,intended_frame_count
1184.75,1683.25,498.5,30,30,491.94699999998556,495.1,30,30
3184.5,3683,498.5,30,30,492.22299999993993,495.1,30,30
5184.5,5682.75,498.25,30,30,492.10699999995995,495.1,30,30
7201,7682.75,481.75,29,30,488.3850000000093,495.1,30,30
9184.25,9682.5,498.25,30,30,495.1599999999162,495.1,30,30
11200.75,11699.25,498.5,30,30,502.8980000000447,495.1,30,30
13217.25,13715.75,498.5,30,30,502.84399999998277,495.1,30,30
15217,15715.5,498.5,30,30,490.5229999999865,495.1,30,30
17217,17715.5,498.5,30,30,494.6020000000717,495.1,30,30
19233.5,19715.25,481.75,29,30,487.48399999999674,495.1,30,30
21216.75,21715.25,498.5,30,30,494.1599999999744,495.1,30,30
23216.5,23715,498.5,30,30,493.2399999999325,495.1,30,30
25216.5,25715,498.5,30,30,492.7179999999353,495.1,30,30
27216.25,27714.75,498.5,30,30,489.1150000000489,495.1,30,30
29216.25,29714.75,498.5,30,30,493.3739999999525,495.1,30,30
31216,31714.5,498.5,30,30,495.2629999999772,495.1,30,30
33232.5,33714.25,481.75,29,30,489.24300000001676,495.1,30,30
35215.75,35714.25,498.5,30,30,494.1920000000391,495.1,30,30
37215.75,37714,498.25,30,30,498.00700000004144,495.1,30,30
39232.25,39714,481.75,29,30,488.2750000000233,495.1,30,30
41215.5,41713.75,498.25,30,30,494.65399999998044,495.1,30,30
43215.25,43713.75,498.5,30,30,494.1329999999725,495.1,30,30
45215.25,45713.5,498.25,30,30,496.0129999999772,495.1,30,30
47215,47713.5,498.5,30,30,495.00600000005215,495.1,30,30
49215,49713.25,498.25,30,30,495.67399999999907,495.1,30,30
51231.5,51729.75,498.25,30,30,500.67699999996694,495.1,30,30
53248,53746.5,498.5,30,30,503.15600000001723,495.1,30,30
55264.5,55763,498.5,30,30,503.1049999999814,495.1,30,30
57264.25,57762.75,498.5,30,30,494.98199999995995,495.1,30,30
59281,59779.25,498.25,30,30,501.530999999959,495.1,30,30
61297.5,61795.75,498.25,30,30,501.48100000002887,495.1,30,30
63297.25,63795.75,498.5,30,30,496.75500000000466,495.1,30,30
65313.75,65795.5,481.75,29,30,487.06099999987055,495.1,30,30
67297,67795.5,498.5,30,30,490.3040000000037,495.1,30,30
69297,69795.25,498.25,30,30,491.5830000000424,495.1,30,30
