Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															1,456.75	1,523.00	66.25																																																																																										
															2,006.75	2,073.00	66.25																																																																																										
															2,556.75	2,623.00	66.25																																																																																										
															3,106.75	3,173.00	66.25																																																																																										
															3,656.75	3,723.00	66.25																																																																																										
															4,206.75	4,273.00	66.25																																																																																										
															4,756.75	4,806.50	49.75																																																																																										
															5,306.75	5,356.50	49.75																																																																																										
															5,856.75	5,923.00	66.25																																																																																										
															6,406.75	6,473.00	66.25																																																																																										
															6,956.75	7,023.00	66.25																																																																																										
															7,506.75	7,573.00	66.25																																																																																										
															8,056.75	8,123.00	66.25																																																																																										
															8,606.75	8,656.25	49.50																																																																																										
															9,156.75	9,223.00	66.25																																																																																										
															9,706.75	9,773.00	66.25																																																																																										
															10,256.75	10,306.25	49.50																																																																																										
															10,806.75	10,873.00	66.25																																																																																										
															11,356.75	11,406.25	49.50																																																																																										
															11,906.75	11,973.00	66.25																																																																																										
															12,456.75	12,523.00	66.25																																																																																										
															13,006.75	13,073.00	66.25																																																																																										
															13,556.75	13,623.00	66.25																																																																																										
															14,106.75	14,156.25	49.50																																																																																										
															14,656.75	14,723.00	66.25																																																																																										
															15,206.75	15,273.00	66.25																																																																																										
															15,756.75	15,823.00	66.25																																																																																										
															16,306.75	16,356.25	49.50																																																																																										
															16,856.75	16,906.25	49.50																																																																																										
															17,406.75	17,473.00	66.25																																																																																										
															17,956.75	18,023.00	66.25																																																																																										
															18,506.75	18,573.00	66.25																																																																																										
															19,056.75	19,123.00	66.25																																																																																										
															19,606.50	19,673.00	66.50																																																																																										
															20,156.50	20,206.25	49.75																																																																																										
															20,706.50	20,773.00	66.50																																																																																										
															21,256.50	21,306.25	49.75																																																																																										
															21,806.50	21,873.00	66.50																																																																																										
															22,356.50	22,423.00	66.50																																																																																										
															22,906.50	22,973.00	66.50																																																																																										
															23,456.50	23,523.00	66.50																																																																																										
															24,006.50	24,073.00	66.50																																																																																										
															24,556.50	24,623.00	66.50																																																																																										
															25,106.50	25,173.00	66.50																																																																																										
															25,656.50	25,723.00	66.50																																																																																										
															26,206.50	26,256.25	49.75																																																																																										
															26,756.50	26,823.00	66.50																																																																																										
															27,306.50	27,373.00	66.50																																																																																										
															27,856.50	27,923.00	66.50																																																																																										
															28,406.50	28,473.00	66.50																																																																																										
															28,956.50	29,023.00	66.50																																																																																										
															29,506.50	29,573.00	66.50																																																																																										
