Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															2,007.25	2,538.00	530.75																																																																																										
															3,040.50	3,554.75	514.25																																																																																										
															4,057.00	4,571.50	514.50																																																																																										
															5,073.75	5,588.00	514.25																																																																																										
															6,090.50	6,604.75	514.25																																																																																										
															7,123.75	7,638.00	514.25																																																																																										
															8,140.50	8,654.75	514.25																																																																																										
															9,157.00	9,671.50	514.50																																																																																										
															10,173.75	10,688.00	514.25																																																																																										
															11,190.50	11,704.75	514.25																																																																																										
															12,207.00	12,721.50	514.50																																																																																										
															13,223.75	13,738.00	514.25																																																																																										
															14,240.50	14,754.75	514.25																																																																																										
															15,257.00	15,771.25	514.25																																																																																										
															16,273.75	16,788.00	514.25																																																																																										
															17,290.50	17,821.25	530.75																																																																																										
															18,323.75	18,838.00	514.25																																																																																										
															19,340.50	19,854.75	514.25																																																																																										
															20,357.00	20,871.25	514.25																																																																																										
															21,373.75	21,888.00	514.25																																																																																										
															22,390.25	22,904.75	514.50																																																																																										
															23,407.00	23,921.25	514.25																																																																																										
															24,423.75	24,938.00	514.25																																																																																										
															25,440.25	25,954.75	514.50																																																																																										
															26,457.00	26,971.25	514.25																																																																																										
															27,473.75	27,988.00	514.25																																																																																										
															28,490.25	29,004.75	514.50																																																																																										
															29,523.75	30,038.00	514.25																																																																																										
															30,540.25	31,054.75	514.50																																																																																										
															31,557.00	32,071.25	514.25																																																																																										
															32,573.75	33,088.00	514.25																																																																																										
															33,590.25	34,104.50	514.25																																																																																										
															34,607.00	35,121.25	514.25																																																																																										
															35,623.75	36,138.00	514.25																																																																																										
															36,640.25	37,154.50	514.25																																																																																										
															37,657.00	38,171.25	514.25																																																																																										
															38,690.25	39,204.50	514.25																																																																																										
															39,707.00	40,221.25	514.25																																																																																										
															40,740.25	41,254.50	514.25																																																																																										
															41,757.00	42,271.25	514.25																																																																																										
															42,773.50	43,288.00	514.50																																																																																										
															43,790.25	44,304.50	514.25																																																																																										
															44,807.00	45,321.25	514.25																																																																																										
															45,823.50	46,338.00	514.50																																																																																										
															46,840.25	47,354.50	514.25																																																																																										
															47,857.00	48,371.25	514.25																																																																																										
															48,873.50	49,388.00	514.50																																																																																										
															49,890.25	50,404.50	514.25																																																																																										
															50,907.00	51,421.25	514.25																																																																																										
															51,940.25	52,454.50	514.25																																																																																										
															52,957.00	53,471.25	514.25																																																																																										
															53,973.50	54,487.75	514.25																																																																																										
