Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															0.25	102.75	102.50																																																																																										
															2,153.75	2,386.00	232.25																																																																																										
															2,887.00	3,152.75	265.75																																																																																										
															3,653.50	3,902.75	249.25																																																																																										
															4,370.25	4,636.00	265.75																																																																																										
															5,103.50	5,352.50	249.00																																																																																										
															5,853.50	6,119.25	265.75																																																																																										
															6,603.50	6,869.00	265.50																																																																																										
															7,336.75	7,585.75	249.00																																																																																										
															8,086.50	8,352.25	265.75																																																																																										
															8,820.00	9,069.00	249.00																																																																																										
															9,569.75	9,819.00	249.25																																																																																										
															10,303.25	10,552.25	249.00																																																																																										
															11,053.00	11,302.25	249.25																																																																																										
															11,786.50	12,035.50	249.00																																																																																										
															12,503.00	12,752.00	249.00																																																																																										
															13,253.00	13,518.75	265.75																																																																																										
															14,003.00	14,268.50	265.50																																																																																										
															14,752.75	15,018.50	265.75																																																																																										
															15,502.75	15,751.75	249.00																																																																																										
															16,236.00	16,501.75	265.75																																																																																										
															16,986.00	17,251.75	265.75																																																																																										
															17,719.25	17,985.00	265.75																																																																																										
															18,469.25	18,718.25	249.00																																																																																										
															19,202.50	19,468.25	265.75																																																																																										
															19,952.50	20,218.25	265.75																																																																																										
															20,702.50	20,951.50	249.00																																																																																										
															21,452.50	21,718.00	265.50																																																																																										
															22,202.25	22,468.00	265.75																																																																																										
															22,952.25	23,201.25	249.00																																																																																										
															23,685.50	23,951.25	265.75																																																																																										
															24,435.50	24,701.25	265.75																																																																																										
															25,185.50	25,434.50	249.00																																																																																										
															25,918.75	26,167.75	249.00																																																																																										
															26,668.75	26,917.75	249.00																																																																																										
															27,418.75	27,684.50	265.75																																																																																										
															28,185.25	28,417.75	232.50																																																																																										
															28,918.50	29,184.25	265.75																																																																																										
															29,685.25	29,917.50	232.25																																																																																										
															30,418.50	30,684.25	265.75																																																																																										
															31,168.50	31,434.25	265.75																																																																																										
															31,918.50	32,184.00	265.50																																																																																										
															32,668.25	32,934.00	265.75																																																																																										
															33,418.25	33,684.00	265.75																																																																																										
															34,168.25	34,434.00	265.75																																																																																										
															34,918.25	35,184.00	265.75																																																																																										
															35,668.25	35,933.75	265.50																																																																																										
															36,418.00	36,667.25	249.25																																																																																										
															37,151.25	37,417.00	265.75																																																																																										
															37,901.25	38,150.25	249.00																																																																																										
															38,651.25	38,917.00	265.75																																																																																										
															39,401.25	39,650.25	249.00																																																																																										
															40,151.25	40,400.25	249.00																																																																																										
															40,884.50	41,133.50	249.00																																																																																										
															41,634.50	41,883.50	249.00																																																																																										
															42,384.25	42,650.00	265.75																																																																																										
															43,134.25	43,400.00	265.75																																																																																										
															43,884.25	44,150.00	265.75																																																																																										
															44,634.25	44,900.00	265.75																																																																																										
															45,384.25	45,633.25	249.00																																																																																										
															46,134.00	46,399.75	265.75																																																																																										
															46,884.00	47,149.75	265.75																																																																																										
															47,634.00	47,883.00	249.00																																																																																										
															48,400.50	48,649.75	249.25																																																																																										
															49,134.00	49,383.00	249.00																																																																																										
															49,883.75	50,149.50	265.75																																																																																										
															50,633.75	50,899.50	265.75																																																																																										
															51,383.75	51,649.50	265.75																																																																																										
															52,133.75	52,382.75	249.00																																																																																										
															52,900.25	53,166.00	265.75																																																																																										
															53,650.25	53,916.00	265.75																																																																																										
															54,400.25	54,666.00	265.75																																																																																										
															55,150.25	55,399.25	249.00																																																																																										
															55,900.00	56,165.75	265.75																																																																																										
															56,650.00	56,915.75	265.75																																																																																										
															57,400.00	57,665.75	265.75																																																																																										
															58,150.00	58,415.75	265.75																																																																																										
															58,900.00	59,149.00	249.00																																																																																										
															59,649.75	59,915.50	265.75																																																																																										
															60,416.50	60,665.50	249.00																																																																																										
															61,149.75	61,415.50	265.75																																																																																										
															61,899.75	62,165.50	265.75																																																																																										
															62,649.75	62,898.75	249.00																																																																																										
															63,399.50	63,665.25	265.75																																																																																										
															64,149.50	64,398.50	249.00																																																																																										
															64,899.50	65,165.25	265.75																																																																																										
															65,649.50	65,915.25	265.75																																																																																										
															66,416.00	66,665.25	249.25																																																																																										
															67,149.25	67,415.00	265.75																																																																																										
															67,899.25	68,148.25	249.00																																																																																										
															68,649.25	68,915.00	265.75																																																																																										
															69,399.25	69,665.00	265.75																																																																																										
