Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															745.00	759.25	14.25																																																																																										
															1,311.75	1,326.00	14.25																																																																																										
															1,861.75	1,876.00	14.25																																																																																										
															2,411.50	2,426.00	14.50																																																																																										
															2,961.50	2,976.00	14.50																																																																																										
															3,511.50	3,525.75	14.25																																																																																										
															4,061.50	4,075.75	14.25																																																																																										
															4,611.50	4,625.75	14.25																																																																																										
															5,161.50	5,175.75	14.25																																																																																										
															5,711.50	5,725.75	14.25																																																																																										
															6,261.25	6,275.75	14.50																																																																																										
															6,811.25	6,825.75	14.50																																																																																										
															7,361.25	7,375.50	14.25																																																																																										
															7,911.25	7,942.25	31.00																																																																																										
															8,461.25	8,475.50	14.25																																																																																										
															9,011.25	9,025.50	14.25																																																																																										
															9,561.00	9,575.50	14.50																																																																																										
															10,111.00	10,125.50	14.50																																																																																										
															10,661.00	10,675.25	14.25																																																																																										
															11,211.00	11,225.25	14.25																																																																																										
															11,761.00	11,775.25	14.25																																																																																										
															12,311.00	12,325.25	14.25																																																																																										
															12,861.00	12,875.25	14.25																																																																																										
															13,410.75	13,425.25	14.50																																																																																										
															13,977.50	13,991.75	14.25																																																																																										
															14,544.25	14,558.50	14.25																																																																																										
															15,094.00	15,108.50	14.50																																																																																										
															15,644.00	15,658.50	14.50																																																																																										
															16,194.00	16,208.25	14.25																																																																																										
															16,744.00	16,758.25	14.25																																																																																										
															17,294.00	17,325.00	31.00																																																																																										
															17,844.00	17,858.25	14.25																																																																																										
															18,394.00	18,408.25	14.25																																																																																										
															18,943.75	18,958.25	14.50																																																																																										
															19,493.75	19,508.25	14.50																																																																																										
															20,043.75	20,058.00	14.25																																																																																										
															20,593.75	20,608.00	14.25																																																																																										
															21,143.75	21,158.00	14.25																																																																																										
															21,693.75	21,708.00	14.25																																																																																										
															22,243.50	22,258.00	14.50																																																																																										
															22,793.50	22,808.00	14.50																																																																																										
															23,343.50	23,358.00	14.50																																																																																										
															23,893.50	23,907.75	14.25																																																																																										
															24,443.50	24,457.75	14.25																																																																																										
															24,993.50	25,007.75	14.25																																																																																										
															25,543.50	25,557.75	14.25																																																																																										
															26,093.25	26,107.75	14.50																																																																																										
															26,643.25	26,657.75	14.50																																																																																										
															27,260.00	27,274.25	14.25																																																																																										
															27,810.00	27,824.25	14.25																																																																																										
															28,360.00	28,374.25	14.25																																																																																										
															28,909.75	28,924.25	14.50																																																																																										
															29,459.75	29,474.25	14.50																																																																																										
															30,009.75	30,024.00	14.25																																																																																										
															30,559.75	30,574.00	14.25																																																																																										
															31,109.75	31,124.00	14.25																																																																																										
															31,659.75	31,674.00	14.25																																																																																										
															32,209.75	32,224.00	14.25																																																																																										
															32,759.50	32,774.00	14.50																																																																																										
															33,309.50	33,324.00	14.50																																																																																										
															33,859.50	33,873.75	14.25																																																																																										
															34,409.50	34,423.75	14.25																																																																																										
															34,959.50	34,973.75	14.25																																																																																										
															35,509.50	35,523.75	14.25																																																																																										
															36,109.50	36,123.75	14.25																																																																																										
															36,659.25	36,673.75	14.50																																																																																										
															37,209.25	37,223.75	14.50																																																																																										
															37,759.25	37,773.50	14.25																																																																																										
															38,309.25	38,323.50	14.25																																																																																										
															38,875.75	38,890.25	14.50																																																																																										
															39,442.50	39,456.75	14.25																																																																																										
															39,992.50	40,006.75	14.25																																																																																										
															40,542.50	40,556.75	14.25																																																																																										
															41,092.50	41,106.75	14.25																																																																																										
															41,642.25	41,656.75	14.50																																																																																										
															42,192.25	42,206.75	14.50																																																																																										
															42,742.25	42,756.50	14.25																																																																																										
															43,292.25	43,306.50	14.25																																																																																										
															43,842.25	43,856.50	14.25																																																																																										
															44,392.25	44,406.50	14.25																																																																																										
															44,942.25	44,956.50	14.25																																																																																										
															45,492.00	45,506.50	14.50																																																																																										
															46,042.00	46,056.50	14.50																																																																																										
															46,592.00	46,606.25	14.25																																																																																										
															47,142.00	47,156.25	14.25																																																																																										
															47,692.00	47,706.25	14.25																																																																																										
															48,242.00	48,256.25	14.25																																																																																										
															48,792.00	48,806.25	14.25																																																																																										
															49,341.75	49,356.25	14.50																																																																																										
															49,891.75	49,906.25	14.50																																																																																										
															50,441.75	50,456.00	14.25																																																																																										
															50,991.75	51,006.00	14.25																																																																																										
															51,541.75	51,556.00	14.25																																																																																										
															52,091.75	52,122.75	31.00																																																																																										
															52,658.25	52,672.50	14.25																																																																																										
															53,225.00	53,239.25	14.25																																																																																										
