Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															615.75	680.00	64.25																																																																																										
															1,199.00	1,263.50	64.50																																																																																										
															1,782.25	1,846.75	64.50																																																																																										
															2,365.75	2,430.00	64.25																																																																																										
															2,949.00	3,013.25	64.25																																																																																										
															3,532.25	3,596.50	64.25																																																																																										
															4,115.50	4,179.75	64.25																																																																																										
															4,698.75	4,763.25	64.50																																																																																										
															5,282.00	5,346.50	64.50																																																																																										
															5,865.50	5,929.75	64.25																																																																																										
															6,448.75	6,513.00	64.25																																																																																										
															7,032.00	7,096.25	64.25																																																																																										
															7,615.25	7,679.75	64.50																																																																																										
															8,198.50	8,263.00	64.50																																																																																										
															8,782.00	8,846.25	64.25																																																																																										
															9,365.25	9,429.50	64.25																																																																																										
															9,948.50	10,012.75	64.25																																																																																										
															10,531.75	10,596.00	64.25																																																																																										
															11,115.00	11,179.50	64.50																																																																																										
															11,698.25	11,762.75	64.50																																																																																										
															12,281.75	12,346.00	64.25																																																																																										
															12,865.00	12,929.25	64.25																																																																																										
															13,448.25	13,512.50	64.25																																																																																										
															14,031.50	14,096.00	64.50																																																																																										
															14,614.75	14,679.25	64.50																																																																																										
															15,198.25	15,262.50	64.25																																																																																										
															15,781.50	15,845.75	64.25																																																																																										
															16,364.75	16,429.00	64.25																																																																																										
															16,948.00	17,012.25	64.25																																																																																										
															17,531.25	17,595.75	64.50																																																																																										
															18,114.50	18,179.00	64.50																																																																																										
															18,698.00	18,762.25	64.25																																																																																										
															19,281.25	19,345.50	64.25																																																																																										
															19,864.50	19,928.75	64.25																																																																																										
															20,447.75	20,512.00	64.25																																																																																										
															21,031.00	21,095.50	64.50																																																																																										
															21,614.50	21,678.75	64.25																																																																																										
															22,197.75	22,262.00	64.25																																																																																										
															22,781.00	22,845.25	64.25																																																																																										
															23,364.25	23,428.50	64.25																																																																																										
															23,947.50	24,012.00	64.50																																																																																										
															24,530.75	24,595.25	64.50																																																																																										
															25,114.25	25,178.50	64.25																																																																																										
															25,697.50	25,761.75	64.25																																																																																										
															26,280.75	26,345.00	64.25																																																																																										
															26,864.00	26,928.25	64.25																																																																																										
															27,447.25	27,511.75	64.50																																																																																										
															28,030.75	28,095.00	64.25																																																																																										
															28,614.00	28,678.25	64.25																																																																																										
															29,197.25	29,261.50	64.25																																																																																										
															29,780.50	29,844.75	64.25																																																																																										
															30,363.75	30,428.25	64.50																																																																																										
