Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															3,893.75	3,960.00	66.25																																																																																										
															4,460.50	4,510.00	49.50																																																																																										
															5,027.00	5,093.50	66.50																																																																																										
															5,593.75	5,660.00	66.25																																																																																										
															6,160.50	6,226.75	66.25																																																																																										
															6,727.00	6,793.50	66.50																																																																																										
															7,293.75	7,360.00	66.25																																																																																										
															7,860.50	7,926.75	66.25																																																																																										
															8,427.00	8,493.50	66.50																																																																																										
															8,993.75	9,060.00	66.25																																																																																										
															9,560.25	9,626.75	66.50																																																																																										
															10,127.00	10,193.50	66.50																																																																																										
															10,693.75	10,760.00	66.25																																																																																										
															11,260.25	11,326.75	66.50																																																																																										
															11,827.00	11,893.50	66.50																																																																																										
															12,393.75	12,460.00	66.25																																																																																										
															12,960.25	13,026.75	66.50																																																																																										
															13,527.00	13,576.75	49.75																																																																																										
															14,093.75	14,160.00	66.25																																																																																										
															14,660.25	14,710.00	49.75																																																																																										
															15,227.00	15,293.50	66.50																																																																																										
															15,793.75	15,860.00	66.25																																																																																										
															16,360.25	16,426.75	66.50																																																																																										
															16,927.00	16,993.50	66.50																																																																																										
															17,493.75	17,560.00	66.25																																																																																										
															18,060.25	18,110.00	49.75																																																																																										
															18,627.00	18,693.25	66.25																																																																																										
															19,193.75	19,243.25	49.50																																																																																										
															19,760.25	19,826.75	66.50																																																																																										
															20,327.00	20,393.25	66.25																																																																																										
															20,893.75	20,960.00	66.25																																																																																										
															21,460.25	21,510.00	49.75																																																																																										
															22,027.00	22,093.25	66.25																																																																																										
															22,593.75	22,660.00	66.25																																																																																										
															23,160.25	23,226.75	66.50																																																																																										
															23,727.00	23,793.25	66.25																																																																																										
															24,293.75	24,360.00	66.25																																																																																										
															24,860.25	24,926.75	66.50																																																																																										
															25,427.00	25,493.25	66.25																																																																																										
															25,993.75	26,043.25	49.50																																																																																										
															26,560.25	26,626.75	66.50																																																																																										
															27,127.00	27,193.25	66.25																																																																																										
															27,693.50	27,760.00	66.50																																																																																										
															28,260.25	28,326.75	66.50																																																																																										
															28,827.00	28,893.25	66.25																																																																																										
															29,393.50	29,460.00	66.50																																																																																										
															29,960.25	30,026.75	66.50																																																																																										
															30,527.00	30,593.25	66.25																																																																																										
															31,093.50	31,160.00	66.50																																																																																										
															31,660.25	31,726.75	66.50																																																																																										
															32,227.00	32,293.25	66.25																																																																																										
															32,793.50	32,860.00	66.50																																																																																										
