Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															3,333.00	3,447.25	114.25																																																																																										
															3,949.75	4,080.75	131.00																																																																																										
															4,566.25	4,697.25	131.00																																																																																										
															5,183.00	5,314.00	131.00																																																																																										
															5,799.75	5,930.50	130.75																																																																																										
															6,416.25	6,547.25	131.00																																																																																										
															7,033.00	7,164.00	131.00																																																																																										
															7,649.75	7,780.50	130.75																																																																																										
															8,266.25	8,397.25	131.00																																																																																										
															8,883.00	9,014.00	131.00																																																																																										
															9,516.25	9,630.50	114.25																																																																																										
															10,116.25	10,247.25	131.00																																																																																										
															10,733.00	10,864.00	131.00																																																																																										
															11,366.25	11,480.50	114.25																																																																																										
															11,983.00	12,097.25	114.25																																																																																										
															12,599.75	12,714.00	114.25																																																																																										
															13,216.25	13,330.50	114.25																																																																																										
															13,833.00	13,947.25	114.25																																																																																										
															14,449.50	14,564.00	114.50																																																																																										
															15,066.25	15,180.50	114.25																																																																																										
															15,683.00	15,814.00	131.00																																																																																										
															16,299.50	16,430.50	131.00																																																																																										
															16,916.25	17,047.25	131.00																																																																																										
															17,533.00	17,664.00	131.00																																																																																										
															18,149.50	18,280.50	131.00																																																																																										
															18,766.25	18,897.25	131.00																																																																																										
															19,383.00	19,514.00	131.00																																																																																										
															19,999.50	20,130.50	131.00																																																																																										
															20,616.25	20,747.25	131.00																																																																																										
															21,233.00	21,364.00	131.00																																																																																										
															21,849.50	21,980.50	131.00																																																																																										
															22,466.25	22,597.25	131.00																																																																																										
															23,083.00	23,214.00	131.00																																																																																										
															23,716.25	23,830.50	114.25																																																																																										
															24,333.00	24,447.25	114.25																																																																																										
															24,949.50	25,063.75	114.25																																																																																										
															25,566.25	25,680.50	114.25																																																																																										
															26,183.00	26,297.25	114.25																																																																																										
															26,799.50	26,913.75	114.25																																																																																										
															27,416.25	27,530.50	114.25																																																																																										
															28,033.00	28,163.75	130.75																																																																																										
															28,649.50	28,780.50	131.00																																																																																										
															29,266.25	29,397.25	131.00																																																																																										
															29,883.00	30,013.75	130.75																																																																																										
															30,499.50	30,630.50	131.00																																																																																										
															31,116.25	31,247.25	131.00																																																																																										
															31,732.75	31,863.75	131.00																																																																																										
															32,349.50	32,480.50	131.00																																																																																										
															32,966.25	33,097.25	131.00																																																																																										
															33,582.75	33,713.75	131.00																																																																																										
															34,199.50	34,330.50	131.00																																																																																										
															34,816.25	34,947.25	131.00																																																																																										
															35,432.75	35,563.75	131.00																																																																																										
															36,066.25	36,180.50	114.25																																																																																										
															36,682.75	36,797.25	114.50																																																																																										
															37,299.50	37,413.75	114.25																																																																																										
															37,916.25	38,030.50	114.25																																																																																										
															38,532.75	38,647.25	114.50																																																																																										
															39,149.50	39,263.75	114.25																																																																																										
															39,766.25	39,880.50	114.25																																																																																										
															40,382.75	40,513.75	131.00																																																																																										
															40,999.50	41,130.50	131.00																																																																																										
															41,616.25	41,747.25	131.00																																																																																										
															42,232.75	42,363.75	131.00																																																																																										
															42,849.50	42,980.50	131.00																																																																																										
															43,466.25	43,597.00	130.75																																																																																										
															44,082.75	44,213.75	131.00																																																																																										
															44,699.50	44,830.50	131.00																																																																																										
															45,316.25	45,447.00	130.75																																																																																										
															45,932.75	46,063.75	131.00																																																																																										
															46,549.50	46,680.50	131.00																																																																																										
															47,166.25	47,297.00	130.75																																																																																										
															47,782.75	47,913.75	131.00																																																																																										
															48,416.25	48,530.50	114.25																																																																																										
															49,032.75	49,147.00	114.25																																																																																										
