Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															6,378.75	6,878.25	499.50																																																																																										
															7,395.25	7,895.00	499.75																																																																																										
															8,412.00	8,911.50	499.50																																																																																										
															9,428.50	9,928.00	499.50																																																																																										
															10,445.25	10,944.75	499.50																																																																																										
															11,461.75	11,961.25	499.50																																																																																										
															12,478.25	12,978.00	499.75																																																																																										
															13,495.00	13,994.50	499.50																																																																																										
															14,511.50	15,011.00	499.50																																																																																										
															15,528.25	16,027.75	499.50																																																																																										
															16,544.75	17,044.25	499.50																																																																																										
															17,561.25	18,061.00	499.75																																																																																										
															18,578.00	19,077.50	499.50																																																																																										
															19,594.50	20,094.00	499.50																																																																																										
															20,611.25	21,110.75	499.50																																																																																										
															21,627.75	22,127.25	499.50																																																																																										
															22,644.25	23,144.00	499.75																																																																																										
															23,661.00	24,160.50	499.50																																																																																										
															24,677.50	25,177.00	499.50																																																																																										
															25,694.25	26,193.75	499.50																																																																																										
															26,710.75	27,210.25	499.50																																																																																										
															27,727.25	28,227.00	499.75																																																																																										
															28,744.00	29,243.50	499.50																																																																																										
															29,760.50	30,260.00	499.50																																																																																										
															30,777.25	31,276.75	499.50																																																																																										
															31,793.75	32,293.25	499.50																																																																																										
															32,810.25	33,310.00	499.75																																																																																										
															33,827.00	34,326.50	499.50																																																																																										
															34,843.50	35,343.00	499.50																																																																																										
															35,860.25	36,359.75	499.50																																																																																										
															36,876.75	37,376.25	499.50																																																																																										
															37,893.25	38,393.00	499.75																																																																																										
															38,910.00	39,409.50	499.50																																																																																										
															39,926.50	40,426.00	499.50																																																																																										
															40,943.25	41,442.75	499.50																																																																																										
															41,959.75	42,459.25	499.50																																																																																										
															42,976.25	43,476.00	499.75																																																																																										
															43,993.00	44,492.50	499.50																																																																																										
															45,009.50	45,509.00	499.50																																																																																										
															46,026.25	46,525.75	499.50																																																																																										
															47,042.75	47,542.25	499.50																																																																																										
															48,059.25	48,558.75	499.50																																																																																										
															49,076.00	49,575.50	499.50																																																																																										
															50,092.50	50,592.00	499.50																																																																																										
															51,109.00	51,608.75	499.75																																																																																										
															52,125.75	52,625.25	499.50																																																																																										
															53,142.25	53,641.75	499.50																																																																																										
															54,159.00	54,658.50	499.50																																																																																										
															55,175.50	55,675.00	499.50																																																																																										
															56,192.00	56,691.75	499.75																																																																																										
															57,208.75	57,708.25	499.50																																																																																										
															58,225.25	58,724.75	499.50																																																																																										
															59,242.00	59,741.50	499.50																																																																																										
															60,258.50	60,758.00	499.50																																																																																										
															61,275.00	61,774.75	499.75																																																																																										
															62,291.75	62,791.25	499.50																																																																																										
															63,308.25	63,807.75	499.50																																																																																										
															64,325.00	64,824.50	499.50																																																																																										
															65,341.50	65,841.00	499.50																																																																																										
															66,358.00	66,857.75	499.75																																																																																										
															67,374.75	67,874.25	499.50																																																																																										
															68,391.25	68,890.75	499.50																																																																																										
															69,408.00	69,907.50	499.50																																																																																										
															70,424.50	70,924.00	499.50																																																																																										
															71,441.00	71,940.75	499.75																																																																																										
															72,457.75	72,957.25	499.50																																																																																										
															73,474.25	73,973.75	499.50																																																																																										
															74,491.00	74,990.50	499.50																																																																																										
															75,507.50	76,007.00	499.50																																																																																										
															76,524.00	77,023.75	499.75																																																																																										
															77,540.75	78,040.25	499.50																																																																																										
															78,557.25	79,056.75	499.50																																																																																										
															79,574.00	80,073.50	499.50																																																																																										
															80,590.50	81,090.00	499.50																																																																																										
															81,607.00	82,106.75	499.75																																																																																										
															82,623.75	83,123.25	499.50																																																																																										
															83,640.25	84,139.75	499.50																																																																																										
															84,657.00	85,156.50	499.50																																																																																										
															85,673.50	86,173.00	499.50																																																																																										
															86,690.00	87,189.75	499.75																																																																																										
															87,706.75	88,206.25	499.50																																																																																										
															88,723.25	89,222.75	499.50																																																																																										
															89,740.00	90,239.50	499.50																																																																																										
															90,756.50	91,256.00	499.50																																																																																										
															91,773.00	92,272.50	499.50																																																																																										
															92,789.75	93,289.25	499.50																																																																																										
															93,806.25	94,305.75	499.50																																																																																										
															94,823.00	95,322.50	499.50																																																																																										
															95,839.50	96,339.00	499.50																																																																																										
															96,856.00	97,355.50	499.50																																																																																										
															97,872.75	98,372.25	499.50																																																																																										
															98,889.25	99,388.75	499.50																																																																																										
															99,906.00	100,405.50	499.50																																																																																										
															100,922.50	101,422.00	499.50																																																																																										
															101,939.00	102,438.50	499.50																																																																																										
															102,955.75	103,455.25	499.50																																																																																										
															103,972.25	104,471.75	499.50																																																																																										
															104,988.75	105,488.50	499.75																																																																																										
															106,005.50	106,505.00	499.50																																																																																										
															107,022.00	107,521.50	499.50																																																																																										
															108,038.75	108,538.25	499.50																																																																																										
															109,055.25	109,554.75	499.50																																																																																										
															110,071.75	110,571.50	499.75																																																																																										
															111,088.50	111,588.00	499.50																																																																																										
															112,105.00	112,604.50	499.50																																																																																										
															113,121.75	113,621.25	499.50																																																																																										
