Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															3,713.25	4,210.75	497.50																																																																																										
															4,763.25	5,244.00	480.75																																																																																										
															5,796.50	6,277.25	480.75																																																																																										
															6,829.75	7,310.50	480.75																																																																																										
															7,863.00	8,343.75	480.75																																																																																										
															8,896.25	9,377.25	481.00																																																																																										
															9,946.00	10,427.00	481.00																																																																																										
															10,996.00	11,477.00	481.00																																																																																										
															12,046.00	12,527.00	481.00																																																																																										
															13,096.00	13,576.75	480.75																																																																																										
															14,145.75	14,626.75	481.00																																																																																										
															15,179.00	15,660.00	481.00																																																																																										
															16,212.25	16,693.25	481.00																																																																																										
															17,245.75	17,726.50	480.75																																																																																										
															18,295.50	18,776.50	481.00																																																																																										
															19,345.50	19,826.50	481.00																																																																																										
															20,395.50	20,876.25	480.75																																																																																										
															21,445.25	21,926.25	481.00																																																																																										
															22,495.25	22,976.25	481.00																																																																																										
															23,545.25	24,026.25	481.00																																																																																										
															24,595.25	25,076.00	480.75																																																																																										
															25,645.00	26,126.00	481.00																																																																																										
															26,678.25	27,159.25	481.00																																																																																										
															27,711.50	28,192.50	481.00																																																																																										
															28,744.75	29,225.75	481.00																																																																																										
															29,778.25	30,259.00	480.75																																																																																										
															30,811.50	31,292.25	480.75																																																																																										
															31,844.75	32,325.50	480.75																																																																																										
															32,878.00	33,359.00	481.00																																																																																										
															33,911.25	34,392.25	481.00																																																																																										
															34,944.50	35,425.50	481.00																																																																																										
															35,977.75	36,458.75	481.00																																																																																										
															37,011.00	37,492.00	481.00																																																																																										
															38,044.25	38,525.25	481.00																																																																																										
															39,094.25	39,575.25	481.00																																																																																										
															40,144.00	40,625.00	481.00																																																																																										
															41,194.00	41,675.00	481.00																																																																																										
															42,227.25	42,708.25	481.00																																																																																										
															43,260.50	43,741.50	481.00																																																																																										
															44,293.75	44,774.75	481.00																																																																																										
															45,327.00	45,808.00	481.00																																																																																										
															46,377.00	46,858.00	481.00																																																																																										
															47,427.00	47,908.00	481.00																																																																																										
															48,477.00	48,957.75	480.75																																																																																										
															49,526.75	50,007.75	481.00																																																																																										
															50,576.75	51,057.75	481.00																																																																																										
															51,626.75	52,107.75	481.00																																																																																										
															52,660.00	53,141.00	481.00																																																																																										
															53,709.75	54,190.75	481.00																																																																																										
															54,743.25	55,224.00	480.75																																																																																										
															55,776.50	56,257.25	480.75																																																																																										
															56,809.75	57,290.50	480.75																																																																																										
