Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															5,047.25	5,161.50	114.25																																																																																										
															5,663.75	5,778.25	114.50																																																																																										
															6,280.50	6,394.75	114.25																																																																																										
															6,897.00	7,011.50	114.50																																																																																										
															7,513.75	7,628.00	114.25																																																																																										
															8,130.25	8,244.75	114.50																																																																																										
															8,747.00	8,861.25	114.25																																																																																										
															9,363.50	9,478.00	114.50																																																																																										
															9,980.25	10,094.50	114.25																																																																																										
															10,596.75	10,711.25	114.50																																																																																										
															11,213.50	11,327.75	114.25																																																																																										
															11,830.00	11,944.50	114.50																																																																																										
															12,446.75	12,561.00	114.25																																																																																										
															13,063.25	13,177.75	114.50																																																																																										
															13,680.00	13,794.25	114.25																																																																																										
															14,296.50	14,411.00	114.50																																																																																										
															14,913.25	15,027.50	114.25																																																																																										
															15,529.75	15,644.25	114.50																																																																																										
															16,146.50	16,260.75	114.25																																																																																										
															16,763.00	16,877.50	114.50																																																																																										
															17,379.75	17,494.00	114.25																																																																																										
															17,996.25	18,110.75	114.50																																																																																										
															18,613.00	18,727.25	114.25																																																																																										
															19,229.50	19,344.00	114.50																																																																																										
															19,846.25	19,960.50	114.25																																																																																										
															20,462.75	20,577.25	114.50																																																																																										
															21,079.50	21,193.75	114.25																																																																																										
															21,696.00	21,810.50	114.50																																																																																										
															22,312.75	22,427.00	114.25																																																																																										
															22,929.25	23,043.75	114.50																																																																																										
															23,546.00	23,660.25	114.25																																																																																										
															24,162.50	24,277.00	114.50																																																																																										
															24,779.25	24,893.50	114.25																																																																																										
															25,395.75	25,510.25	114.50																																																																																										
															26,012.50	26,126.75	114.25																																																																																										
															26,629.00	26,743.50	114.50																																																																																										
															27,245.75	27,360.00	114.25																																																																																										
															27,862.25	27,976.75	114.50																																																																																										
															28,479.00	28,593.25	114.25																																																																																										
															29,095.50	29,210.00	114.50																																																																																										
															29,712.25	29,826.50	114.25																																																																																										
															30,328.75	30,443.25	114.50																																																																																										
															30,945.50	31,059.75	114.25																																																																																										
															31,562.00	31,676.50	114.50																																																																																										
															32,178.75	32,293.00	114.25																																																																																										
															32,795.25	32,909.75	114.50																																																																																										
															33,412.00	33,526.25	114.25																																																																																										
															34,028.50	34,143.00	114.50																																																																																										
															34,645.25	34,759.50	114.25																																																																																										
															35,261.75	35,376.25	114.50																																																																																										
															35,878.50	35,992.75	114.25																																																																																										
															36,495.00	36,609.50	114.50																																																																																										
															37,111.75	37,226.00	114.25																																																																																										
															37,728.25	37,842.75	114.50																																																																																										
															38,345.00	38,459.25	114.25																																																																																										
															38,961.75	39,076.00	114.25																																																																																										
															39,578.25	39,692.50	114.25																																																																																										
															40,195.00	40,309.25	114.25																																																																																										
															40,811.50	40,925.75	114.25																																																																																										
															41,428.25	41,542.50	114.25																																																																																										
															42,044.75	42,159.00	114.25																																																																																										
															42,661.50	42,775.75	114.25																																																																																										
															43,278.00	43,392.25	114.25																																																																																										
															43,894.75	44,009.00	114.25																																																																																										
															44,511.25	44,625.50	114.25																																																																																										
															45,128.00	45,242.25	114.25																																																																																										
