Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															1,357.25	1,857.00	499.75																																																																																										
															2,374.00	2,873.75	499.75																																																																																										
															3,390.50	3,890.25	499.75																																																																																										
															4,407.25	4,907.00	499.75																																																																																										
															5,424.00	5,923.75	499.75																																																																																										
															6,440.50	6,940.25	499.75																																																																																										
															7,457.25	7,957.00	499.75																																																																																										
															8,474.00	8,973.75	499.75																																																																																										
															9,490.50	9,990.25	499.75																																																																																										
															10,507.25	11,007.00	499.75																																																																																										
															11,523.75	12,023.50	499.75																																																																																										
															12,540.50	13,040.25	499.75																																																																																										
															13,557.25	14,057.00	499.75																																																																																										
															14,573.75	15,073.50	499.75																																																																																										
															15,590.50	16,090.25	499.75																																																																																										
															16,607.25	17,107.00	499.75																																																																																										
															17,623.75	18,123.50	499.75																																																																																										
															18,640.50	19,140.25	499.75																																																																																										
															19,657.25	20,157.00	499.75																																																																																										
															20,673.75	21,173.50	499.75																																																																																										
															21,690.50	22,190.25	499.75																																																																																										
															22,707.25	23,207.00	499.75																																																																																										
															23,723.75	24,223.50	499.75																																																																																										
															24,757.25	25,240.25	483.00																																																																																										
															25,757.25	26,257.00	499.75																																																																																										
															26,773.75	27,273.50	499.75																																																																																										
															27,790.50	28,290.25	499.75																																																																																										
															28,807.00	29,307.00	500.00																																																																																										
															29,823.75	30,323.50	499.75																																																																																										
															30,840.50	31,340.25	499.75																																																																																										
															31,857.00	32,356.75	499.75																																																																																										
															32,873.75	33,373.50	499.75																																																																																										
															33,890.50	34,390.25	499.75																																																																																										
															34,907.00	35,406.75	499.75																																																																																										
															35,923.75	36,423.50	499.75																																																																																										
															36,940.50	37,440.25	499.75																																																																																										
															37,957.00	38,456.75	499.75																																																																																										
															38,973.75	39,473.50	499.75																																																																																										
															39,990.50	40,490.25	499.75																																																																																										
															41,007.00	41,506.75	499.75																																																																																										
															42,023.75	42,523.50	499.75																																																																																										
															43,040.50	43,540.25	499.75																																																																																										
															44,057.00	44,556.75	499.75																																																																																										
															45,073.75	45,573.50	499.75																																																																																										
															46,090.50	46,590.25	499.75																																																																																										
															47,107.00	47,606.75	499.75																																																																																										
															48,123.75	48,623.50	499.75																																																																																										
															49,140.25	49,640.00	499.75																																																																																										
															50,157.00	50,656.75	499.75																																																																																										
															51,173.75	51,673.50	499.75																																																																																										
															52,190.25	52,690.00	499.75																																																																																										
															53,207.00	53,706.75	499.75																																																																																										
															54,223.75	54,723.50	499.75																																																																																										
															55,240.25	55,740.00	499.75																																																																																										
															56,257.00	56,756.75	499.75																																																																																										
															57,273.75	57,773.50	499.75																																																																																										
															58,290.25	58,790.00	499.75																																																																																										
															59,307.00	59,806.75	499.75																																																																																										
															60,323.75	60,823.50	499.75																																																																																										
															61,340.25	61,840.00	499.75																																																																																										
															62,357.00	62,856.75	499.75																																																																																										
															63,373.75	63,873.50	499.75																																																																																										
															64,390.25	64,890.00	499.75																																																																																										
															65,407.00	65,906.75	499.75																																																																																										
															66,423.50	66,923.25	499.75																																																																																										
															67,440.25	67,940.00	499.75																																																																																										
															68,457.00	68,956.75	499.75																																																																																										
															69,473.50	69,973.25	499.75																																																																																										
															70,490.25	70,990.00	499.75																																																																																										
															71,507.00	72,006.75	499.75																																																																																										
															72,523.50	73,023.25	499.75																																																																																										
															73,540.25	74,040.00	499.75																																																																																										
															74,557.00	75,056.75	499.75																																																																																										
															75,573.50	76,073.25	499.75																																																																																										
															76,590.25	77,090.00	499.75																																																																																										
															77,607.00	78,106.75	499.75																																																																																										
															78,623.50	79,123.25	499.75																																																																																										
															79,640.25	80,140.00	499.75																																																																																										
															80,657.00	81,156.75	499.75																																																																																										
															81,673.50	82,173.25	499.75																																																																																										
															82,690.25	83,190.00	499.75																																																																																										
															83,707.00	84,206.50	499.50																																																																																										
															84,740.25	85,223.25	483.00																																																																																										
															85,740.25	86,240.00	499.75																																																																																										
															86,756.75	87,256.50	499.75																																																																																										
															87,773.50	88,273.25	499.75																																																																																										
															88,790.25	89,290.00	499.75																																																																																										
															89,806.75	90,306.50	499.75																																																																																										
															90,823.50	91,323.25	499.75																																																																																										
															91,840.25	92,340.00	499.75																																																																																										
															92,856.75	93,356.50	499.75																																																																																										
															93,873.50	94,373.25	499.75																																																																																										
															94,890.25	95,390.00	499.75																																																																																										
															95,906.75	96,406.50	499.75																																																																																										
															96,923.50	97,423.25	499.75																																																																																										
															97,940.25	98,440.00	499.75																																																																																										
															98,956.75	99,456.50	499.75																																																																																										
															99,973.50	100,473.25	499.75																																																																																										
															100,990.25	101,490.00	499.75																																																																																										
															102,006.75	102,506.50	499.75																																																																																										
															103,023.50	103,523.25	499.75																																																																																										
															104,040.00	104,539.75	499.75																																																																																										
															105,056.75	105,556.50	499.75																																																																																										
															106,073.50	106,573.25	499.75																																																																																										
															107,090.00	107,589.75	499.75																																																																																										
															108,106.75	108,606.50	499.75																																																																																										
															109,123.50	109,623.25	499.75																																																																																										
															110,140.00	110,639.75	499.75																																																																																										
															111,156.75	111,656.50	499.75																																																																																										
															112,173.50	112,673.25	499.75																																																																																										
															113,190.00	113,689.75	499.75																																																																																										
															114,206.75	114,706.50	499.75																																																																																										
															115,223.50	115,723.25	499.75																																																																																										
															116,240.00	116,739.75	499.75																																																																																										
															117,256.75	117,756.50	499.75																																																																																										
															118,273.50	118,773.25	499.75																																																																																										
															119,290.00	119,789.75	499.75																																																																																										
															120,306.75	120,806.50	499.75																																																																																										
															121,323.25	121,823.00	499.75																																																																																										
															122,340.00	122,839.75	499.75																																																																																										
															123,356.75	123,856.50	499.75																																																																																										
															124,373.25	124,873.00	499.75																																																																																										
															125,390.00	125,889.75	499.75																																																																																										
															126,406.75	126,906.50	499.75																																																																																										
															127,423.25	127,923.00	499.75																																																																																										
															128,440.00	128,939.75	499.75																																																																																										
															129,456.75	129,956.50	499.75																																																																																										
															130,473.25	130,973.00	499.75																																																																																										
															131,490.00	131,989.75	499.75																																																																																										
															132,506.75	133,006.50	499.75																																																																																										
															133,523.25	134,023.00	499.75																																																																																										
															134,540.00	135,039.75	499.75																																																																																										
															135,556.75	136,056.50	499.75																																																																																										
															136,573.25	137,073.00	499.75																																																																																										
															137,590.00	138,089.75	499.75																																																																																										
															138,606.75	139,106.50	499.75																																																																																										
															139,623.25	140,123.00	499.75																																																																																										
															140,640.00	141,139.75	499.75																																																																																										
															141,656.50	142,156.25	499.75																																																																																										
															142,673.25	143,173.00	499.75																																																																																										
															143,690.00	144,189.75	499.75																																																																																										
															144,723.25	145,206.25	483.00																																																																																										
															145,723.25	146,223.00	499.75																																																																																										
															146,740.00	147,239.75	499.75																																																																																										
															147,756.50	148,256.25	499.75																																																																																										
															148,773.25	149,273.00	499.75																																																																																										
															149,790.00	150,289.75	499.75																																																																																										
															150,806.50	151,306.25	499.75																																																																																										
															151,823.25	152,323.00	499.75																																																																																										
															152,840.00	153,339.75	499.75																																																																																										
															153,856.50	154,356.25	499.75																																																																																										
															154,873.25	155,373.00	499.75																																																																																										
															155,890.00	156,389.50	499.50																																																																																										
															156,906.50	157,406.25	499.75																																																																																										
															157,923.25	158,423.00	499.75																																																																																										
															158,939.75	159,439.50	499.75																																																																																										
															159,956.50	160,456.25	499.75																																																																																										
															160,973.25	161,473.00	499.75																																																																																										
															161,989.75	162,489.50	499.75																																																																																										
															163,006.50	163,506.25	499.75																																																																																										
															164,023.25	164,523.00	499.75																																																																																										
															165,039.75	165,539.50	499.75																																																																																										
															166,056.50	166,556.25	499.75																																																																																										
															167,073.25	167,573.00	499.75																																																																																										
															168,089.75	168,589.50	499.75																																																																																										
															169,106.50	169,606.25	499.75																																																																																										
															170,123.25	170,623.00	499.75																																																																																										
															171,139.75	171,639.50	499.75																																																																																										
															172,156.50	172,656.25	499.75																																																																																										
															173,173.25	173,673.00	499.75																																																																																										
															174,189.75	174,689.50	499.75																																																																																										
															175,206.50	175,706.25	499.75																																																																																										
															176,223.25	176,722.75	499.50																																																																																										
															177,239.75	177,739.50	499.75																																																																																										
															178,256.50	178,756.25	499.75																																																																																										
															179,273.00	179,772.75	499.75																																																																																										
															180,289.75	180,789.50	499.75																																																																																										
															181,306.50	181,806.25	499.75																																																																																										
															182,323.00	182,822.75	499.75																																																																																										
															183,339.75	183,839.50	499.75																																																																																										
															184,356.50	184,856.25	499.75																																																																																										
															185,373.00	185,872.75	499.75																																																																																										
															186,389.75	186,889.50	499.75																																																																																										
															187,406.50	187,906.25	499.75																																																																																										
															188,423.00	188,922.75	499.75																																																																																										
															189,439.75	189,939.50	499.75																																																																																										
															190,456.50	190,956.25	499.75																																																																																										
															191,473.00	191,972.75	499.75																																																																																										
															192,489.75	192,989.50	499.75																																																																																										
															193,506.50	194,006.00	499.50																																																																																										
															194,523.00	195,022.75	499.75																																																																																										
															195,539.75	196,039.50	499.75																																																																																										
															196,556.25	197,056.00	499.75																																																																																										
															197,573.00	198,072.75	499.75																																																																																										
															198,589.75	199,089.50	499.75																																																																																										
															199,606.25	200,106.00	499.75																																																																																										
															200,623.00	201,122.75	499.75																																																																																										
															201,639.75	202,139.50	499.75																																																																																										
															202,656.25	203,156.00	499.75																																																																																										
															203,673.00	204,206.00	533.00																																																																																										
