Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															1,965.25	2,213.00	247.75																																																																																										
															2,732.00	2,979.50	247.50																																																																																										
															3,498.50	3,746.25	247.75																																																																																										
															4,265.25	4,513.00	247.75																																																																																										
															5,048.50	5,279.50	231.00																																																																																										
															5,815.25	6,063.00	247.75																																																																																										
															6,582.00	6,829.50	247.50																																																																																										
															7,348.50	7,596.25	247.75																																																																																										
															8,115.25	8,362.75	247.50																																																																																										
															8,882.00	9,129.50	247.50																																																																																										
															9,648.50	9,896.25	247.75																																																																																										
															10,415.25	10,662.75	247.50																																																																																										
															11,182.00	11,429.50	247.50																																																																																										
															11,948.50	12,196.25	247.75																																																																																										
															12,715.25	12,962.75	247.50																																																																																										
															13,482.00	13,729.50	247.50																																																																																										
															14,248.50	14,496.25	247.75																																																																																										
															15,015.25	15,262.75	247.50																																																																																										
															15,781.75	16,029.50	247.75																																																																																										
															16,548.50	16,796.25	247.75																																																																																										
															17,315.25	17,562.75	247.50																																																																																										
															18,081.75	18,329.50	247.75																																																																																										
															18,848.50	19,096.25	247.75																																																																																										
															19,615.25	19,862.75	247.50																																																																																										
															20,381.75	20,629.50	247.75																																																																																										
															21,148.50	21,396.25	247.75																																																																																										
															21,915.25	22,162.75	247.50																																																																																										
															22,681.75	22,929.50	247.75																																																																																										
															23,448.50	23,696.25	247.75																																																																																										
															24,215.25	24,462.75	247.50																																																																																										
															24,998.50	25,229.50	231.00																																																																																										
															25,765.25	26,012.75	247.50																																																																																										
															26,531.75	26,779.50	247.75																																																																																										
															27,298.50	27,546.00	247.50																																																																																										
															28,065.25	28,312.75	247.50																																																																																										
															28,831.75	29,079.50	247.75																																																																																										
															29,598.50	29,846.00	247.50																																																																																										
															30,365.25	30,612.75	247.50																																																																																										
															31,131.75	31,379.50	247.75																																																																																										
															31,898.50	32,146.00	247.50																																																																																										
															32,665.25	32,912.75	247.50																																																																																										
															33,431.75	33,679.50	247.75																																																																																										
															34,198.50	34,446.00	247.50																																																																																										
															34,965.25	35,212.75	247.50																																																																																										
															35,731.75	35,979.50	247.75																																																																																										
															36,498.50	36,746.00	247.50																																																																																										
															37,265.00	37,512.75	247.75																																																																																										
															38,031.75	38,279.50	247.75																																																																																										
															38,798.50	39,046.00	247.50																																																																																										
															39,565.00	39,812.75	247.75																																																																																										
															40,331.75	40,579.50	247.75																																																																																										
															41,098.50	41,346.00	247.50																																																																																										
															41,865.00	42,112.75	247.75																																																																																										
															42,631.75	42,879.50	247.75																																																																																										
															43,398.50	43,646.00	247.50																																																																																										
															44,165.00	44,412.75	247.75																																																																																										
															44,931.75	45,179.25	247.50																																																																																										
															45,698.50	45,946.00	247.50																																																																																										
															46,465.00	46,712.75	247.75																																																																																										
															47,231.75	47,479.25	247.50																																																																																										
															47,998.50	48,246.00	247.50																																																																																										
															48,781.75	49,012.75	231.00																																																																																										
															49,548.50	49,779.25	230.75																																																																																										
															50,315.00	50,562.75	247.75																																																																																										
															51,081.75	51,329.25	247.50																																																																																										
															51,848.50	52,096.00	247.50																																																																																										
															52,615.00	52,862.75	247.75																																																																																										
															53,381.75	53,629.25	247.50																																																																																										
															54,148.25	54,396.00	247.75																																																																																										
															54,915.00	55,162.75	247.75																																																																																										
															55,681.75	55,929.25	247.50																																																																																										
															56,448.25	56,696.00	247.75																																																																																										
															57,215.00	57,462.75	247.75																																																																																										
															57,981.75	58,229.25	247.50																																																																																										
															58,748.25	58,996.00	247.75																																																																																										
															59,515.00	59,762.75	247.75																																																																																										
															60,281.75	60,529.25	247.50																																																																																										
															61,048.25	61,296.00	247.75																																																																																										
															61,815.00	62,062.75	247.75																																																																																										
															62,581.75	62,829.25	247.50																																																																																										
															63,348.25	63,596.00	247.75																																																																																										
															64,115.00	64,362.75	247.75																																																																																										
															64,881.75	65,129.25	247.50																																																																																										
															65,648.25	65,896.00	247.75																																																																																										
															66,415.00	66,662.50	247.50																																																																																										
															67,181.75	67,429.25	247.50																																																																																										
															67,948.25	68,196.00	247.75																																																																																										
															68,715.00	68,962.50	247.50																																																																																										
															69,481.75	69,729.25	247.50																																																																																										
															70,248.25	70,496.00	247.75																																																																																										
															71,015.00	71,262.50	247.50																																																																																										
															71,798.25	72,029.25	231.00																																																																																										
															72,565.00	72,812.50	247.50																																																																																										
															73,331.50	73,579.25	247.75																																																																																										
															74,098.25	74,346.00	247.75																																																																																										
															74,865.00	75,112.50	247.50																																																																																										
															75,631.50	75,879.25	247.75																																																																																										
															76,398.25	76,646.00	247.75																																																																																										
															77,165.00	77,412.50	247.50																																																																																										
															77,931.50	78,179.25	247.75																																																																																										
															78,698.25	78,946.00	247.75																																																																																										
															79,465.00	79,712.50	247.50																																																																																										
															80,231.50	80,479.25	247.75																																																																																										
															80,998.25	81,246.00	247.75																																																																																										
															81,765.00	82,012.50	247.50																																																																																										
															82,531.50	82,779.25	247.75																																																																																										
															83,298.25	83,545.75	247.50																																																																																										
															84,065.00	84,312.50	247.50																																																																																										
															84,831.50	85,079.25	247.75																																																																																										
															85,598.25	85,846.00	247.75																																																																																										
															86,365.00	86,612.50	247.50																																																																																										
															87,131.50	87,379.25	247.75																																																																																										
															87,898.25	88,145.75	247.50																																																																																										
															88,665.00	88,912.50	247.50																																																																																										
															89,431.50	89,679.25	247.75																																																																																										
															90,198.25	90,445.75	247.50																																																																																										
															90,981.50	91,212.50	231.00																																																																																										
															91,748.25	91,995.75	247.50																																																																																										
															92,514.75	92,762.50	247.75																																																																																										
