Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															818.75	918.25	99.50																																																																																										
															1,435.50	1,535.00	99.50																																																																																										
															2,052.00	2,151.50	99.50																																																																																										
															2,668.75	2,768.25	99.50																																																																																										
															3,285.25	3,384.75	99.50																																																																																										
															3,902.00	4,001.50	99.50																																																																																										
															4,518.50	4,618.00	99.50																																																																																										
															5,135.25	5,234.75	99.50																																																																																										
															5,751.75	5,851.25	99.50																																																																																										
															6,368.50	6,468.00	99.50																																																																																										
															6,985.00	7,084.50	99.50																																																																																										
															7,601.75	7,701.25	99.50																																																																																										
															8,218.25	8,317.75	99.50																																																																																										
															8,835.00	8,934.50	99.50																																																																																										
															9,451.50	9,551.00	99.50																																																																																										
															10,068.25	10,167.75	99.50																																																																																										
															10,684.75	10,784.25	99.50																																																																																										
															11,301.50	11,401.00	99.50																																																																																										
															11,918.00	12,017.50	99.50																																																																																										
															12,534.75	12,634.25	99.50																																																																																										
															13,151.25	13,251.00	99.75																																																																																										
															13,768.00	13,867.50	99.50																																																																																										
															14,384.50	14,484.00	99.50																																																																																										
															15,001.25	15,100.75	99.50																																																																																										
															15,617.75	15,717.50	99.75																																																																																										
															16,234.50	16,334.00	99.50																																																																																										
															16,851.00	16,950.75	99.75																																																																																										
															17,467.75	17,567.25	99.50																																																																																										
															18,084.25	18,184.00	99.75																																																																																										
															18,701.00	18,800.50	99.50																																																																																										
															19,317.50	19,417.25	99.75																																																																																										
															19,934.25	20,033.75	99.50																																																																																										
															20,550.75	20,650.50	99.75																																																																																										
															21,167.50	21,267.00	99.50																																																																																										
															21,784.00	21,883.75	99.75																																																																																										
															22,400.75	22,500.25	99.50																																																																																										
															23,017.25	23,117.00	99.75																																																																																										
															23,634.00	23,733.50	99.50																																																																																										
															24,250.50	24,350.25	99.75																																																																																										
															24,867.25	24,966.75	99.50																																																																																										
															25,483.75	25,583.50	99.75																																																																																										
															26,100.50	26,200.00	99.50																																																																																										
															26,717.00	26,816.75	99.75																																																																																										
															27,333.75	27,433.25	99.50																																																																																										
															27,950.25	28,050.00	99.75																																																																																										
															28,567.00	28,666.50	99.50																																																																																										
															29,183.50	29,283.25	99.75																																																																																										
															29,800.25	29,899.75	99.50																																																																																										
															30,416.75	30,516.50	99.75																																																																																										
															31,033.50	31,133.00	99.50																																																																																										
															31,650.00	31,749.75	99.75																																																																																										
															32,266.75	32,366.25	99.50																																																																																										
