Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															2,674.25	2,888.50	214.25																																																																																										
															3,457.50	3,688.50	231.00																																																																																										
															4,240.75	4,471.75	231.00																																																																																										
															5,040.75	5,271.75	231.00																																																																																										
															5,824.00	6,055.00	231.00																																																																																										
															6,624.00	6,855.00	231.00																																																																																										
															7,424.00	7,655.00	231.00																																																																																										
															8,224.00	8,455.00	231.00																																																																																										
															9,007.25	9,238.25	231.00																																																																																										
															9,807.25	10,038.00	230.75																																																																																										
															10,607.00	10,838.00	231.00																																																																																										
															11,407.00	11,638.00	231.00																																																																																										
															12,173.75	12,421.25	247.50																																																																																										
															12,990.25	13,221.25	231.00																																																																																										
															13,790.25	14,021.25	231.00																																																																																										
															14,590.25	14,821.00	230.75																																																																																										
															15,373.50	15,604.50	231.00																																																																																										
															16,173.50	16,404.25	230.75																																																																																										
															16,940.00	17,187.75	247.75																																																																																										
															17,756.50	17,987.50	231.00																																																																																										
															18,556.50	18,787.50	231.00																																																																																										
															19,356.50	19,587.50	231.00																																																																																										
															20,139.75	20,370.75	231.00																																																																																										
															20,939.75	21,170.75	231.00																																																																																										
															21,739.75	21,970.75	231.00																																																																																										
															22,539.50	22,770.50	231.00																																																																																										
															23,323.00	23,554.00	231.00																																																																																										
															24,122.75	24,353.75	231.00																																																																																										
															24,906.25	25,137.00	230.75																																																																																										
															25,706.00	25,937.00	231.00																																																																																										
															26,506.00	26,737.00	231.00																																																																																										
															27,306.00	27,537.00	231.00																																																																																										
															28,089.25	28,320.25	231.00																																																																																										
															28,889.25	29,120.25	231.00																																																																																										
															29,689.25	29,920.00	230.75																																																																																										
															30,489.00	30,720.00	231.00																																																																																										
															31,272.50	31,503.25	230.75																																																																																										
															32,072.25	32,303.25	231.00																																																																																										
															32,855.50	33,086.50	231.00																																																																																										
															33,655.50	33,886.50	231.00																																																																																										
															34,455.50	34,686.50	231.00																																																																																										
															35,255.50	35,486.50	231.00																																																																																										
															36,038.75	36,269.75	231.00																																																																																										
															36,838.75	37,069.75	231.00																																																																																										
															37,638.50	37,869.50	231.00																																																																																										
															38,422.00	38,669.50	247.50																																																																																										
															39,221.75	39,452.75	231.00																																																																																										
															40,021.75	40,252.75	231.00																																																																																										
															40,805.00	41,036.00	231.00																																																																																										
															41,605.00	41,836.00	231.00																																																																																										
															42,405.00	42,636.00	231.00																																																																																										
															43,205.00	43,436.00	231.00																																																																																										
