Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															1,017.50	1,048.50	31.00																																																																																										
															1,550.75	1,581.75	31.00																																																																																										
															2,084.00	2,115.00	31.00																																																																																										
															2,617.25	2,648.25	31.00																																																																																										
															3,150.75	3,181.50	30.75																																																																																										
															3,684.00	3,715.00	31.00																																																																																										
															4,217.25	4,248.25	31.00																																																																																										
															4,750.50	4,781.50	31.00																																																																																										
															5,283.75	5,314.75	31.00																																																																																										
															5,817.25	5,848.00	30.75																																																																																										
															6,350.50	6,381.50	31.00																																																																																										
															6,883.75	6,914.75	31.00																																																																																										
															7,417.00	7,448.00	31.00																																																																																										
															7,950.25	7,981.25	31.00																																																																																										
															8,483.50	8,514.50	31.00																																																																																										
															9,017.00	9,048.00	31.00																																																																																										
															9,550.25	9,581.25	31.00																																																																																										
															10,083.50	10,114.50	31.00																																																																																										
															10,616.75	10,647.75	31.00																																																																																										
															11,150.00	11,181.00	31.00																																																																																										
															11,683.50	11,714.50	31.00																																																																																										
															12,216.75	12,247.75	31.00																																																																																										
															12,750.00	12,781.00	31.00																																																																																										
															13,283.25	13,314.25	31.00																																																																																										
															13,816.50	13,847.50	31.00																																																																																										
															14,350.00	14,381.00	31.00																																																																																										
															14,883.25	14,914.25	31.00																																																																																										
															15,416.50	15,447.50	31.00																																																																																										
															15,949.75	15,980.75	31.00																																																																																										
															16,483.00	16,514.00	31.00																																																																																										
															17,016.50	17,047.50	31.00																																																																																										
															17,549.75	17,580.75	31.00																																																																																										
															18,083.00	18,114.00	31.00																																																																																										
															18,616.25	18,647.25	31.00																																																																																										
															19,149.50	19,180.50	31.00																																																																																										
															19,683.00	19,713.75	30.75																																																																																										
															20,216.25	20,247.25	31.00																																																																																										
															20,749.50	20,780.50	31.00																																																																																										
															21,282.75	21,313.75	31.00																																																																																										
															21,816.00	21,847.00	31.00																																																																																										
															22,349.50	22,380.25	30.75																																																																																										
															22,882.75	22,913.75	31.00																																																																																										
															23,416.00	23,447.00	31.00																																																																																										
															23,949.25	23,980.25	31.00																																																																																										
															24,482.50	24,513.50	31.00																																																																																										
															25,016.00	25,046.75	30.75																																																																																										
															25,549.25	25,580.25	31.00																																																																																										
															26,082.50	26,113.50	31.00																																																																																										
															26,615.75	26,646.75	31.00																																																																																										
															27,149.00	27,180.00	31.00																																																																																										
															27,682.25	27,713.25	31.00																																																																																										
															28,215.75	28,246.75	31.00																																																																																										
															28,749.00	28,780.00	31.00																																																																																										
															29,282.25	29,313.25	31.00																																																																																										
															29,815.50	29,846.50	31.00																																																																																										
															30,348.75	30,379.75	31.00																																																																																										
															30,882.25	30,913.25	31.00																																																																																										
															31,415.50	31,446.50	31.00																																																																																										
															31,948.75	31,979.75	31.00																																																																																										
															32,482.00	32,513.00	31.00																																																																																										
															33,015.25	33,046.25	31.00																																																																																										
															33,548.75	33,579.75	31.00																																																																																										
															34,082.00	34,113.00	31.00																																																																																										
															34,615.25	34,646.25	31.00																																																																																										
															35,148.50	35,179.50	31.00																																																																																										
															35,681.75	35,712.75	31.00																																																																																										
															36,215.25	36,246.25	31.00																																																																																										
															36,748.50	36,779.50	31.00																																																																																										
															37,281.75	37,312.75	31.00																																																																																										
															37,815.00	37,846.00	31.00																																																																																										
															38,348.25	38,379.25	31.00																																																																																										
															38,881.75	38,912.75	31.00																																																																																										
															39,415.00	39,446.00	31.00																																																																																										
															39,948.25	39,979.25	31.00																																																																																										
															40,481.50	40,512.50	31.00																																																																																										
															41,014.75	41,045.75	31.00																																																																																										
															41,548.25	41,579.25	31.00																																																																																										
															42,081.50	42,112.50	31.00																																																																																										
															42,614.75	42,645.75	31.00																																																																																										
															43,148.00	43,179.00	31.00																																																																																										
															43,681.25	43,712.25	31.00																																																																																										
															44,214.75	44,245.75	31.00																																																																																										
															44,748.00	44,779.00	31.00																																																																																										
															45,281.25	45,312.25	31.00																																																																																										
															45,814.50	45,845.50	31.00																																																																																										
															46,347.75	46,378.75	31.00																																																																																										
															46,881.25	46,912.00	30.75																																																																																										
															47,414.50	47,445.50	31.00																																																																																										
															47,947.75	47,978.75	31.00																																																																																										
															48,481.00	48,512.00	31.00																																																																																										
															49,014.25	49,045.25	31.00																																																																																										
															49,547.75	49,578.50	30.75																																																																																										
															50,081.00	50,112.00	31.00																																																																																										
															50,614.25	50,645.25	31.00																																																																																										
															51,147.50	51,178.50	31.00																																																																																										
															51,680.75	51,711.75	31.00																																																																																										
															52,214.00	52,245.00	31.00																																																																																										
															52,747.50	52,778.50	31.00																																																																																										
															53,280.75	53,311.75	31.00																																																																																										
															53,814.00	53,845.00	31.00																																																																																										
															54,347.25	54,378.25	31.00																																																																																										
															54,880.50	54,911.50	31.00																																																																																										
															55,414.00	55,445.00	31.00																																																																																										
															55,947.25	55,978.25	31.00																																																																																										
															56,480.50	56,511.50	31.00																																																																																										
															57,013.75	57,044.75	31.00																																																																																										
															57,547.00	57,578.00	31.00																																																																																										
															58,080.50	58,111.50	31.00																																																																																										
															58,613.75	58,644.75	31.00																																																																																										
															59,147.00	59,178.00	31.00																																																																																										
															59,680.25	59,711.25	31.00																																																																																										
															60,213.50	60,244.50	31.00																																																																																										
															60,747.00	60,778.00	31.00																																																																																										
															61,280.25	61,311.25	31.00																																																																																										
															61,813.50	61,844.50	31.00																																																																																										
															62,346.75	62,377.75	31.00																																																																																										
															62,880.00	62,911.00	31.00																																																																																										
															63,413.50	63,444.50	31.00																																																																																										
															63,946.75	63,977.75	31.00																																																																																										
															64,480.00	64,511.00	31.00																																																																																										
															65,013.25	65,044.25	31.00																																																																																										
															65,546.50	65,577.50	31.00																																																																																										
															66,080.00	66,111.00	31.00																																																																																										
															66,613.25	66,644.25	31.00																																																																																										
															67,146.50	67,177.50	31.00																																																																																										
															67,679.75	67,710.75	31.00																																																																																										
															68,213.00	68,244.00	31.00																																																																																										
															68,746.50	68,777.50	31.00																																																																																										
															69,279.75	69,310.75	31.00																																																																																										
															69,813.00	69,844.00	31.00																																																																																										
															70,346.25	70,377.25	31.00																																																																																										
															70,879.50	70,910.50	31.00																																																																																										
															71,413.00	71,444.00	31.00																																																																																										
															71,946.25	71,977.25	31.00																																																																																										
															72,479.50	72,510.50	31.00																																																																																										
															73,012.75	73,043.75	31.00																																																																																										
															73,546.00	73,577.00	31.00																																																																																										
															74,079.50	74,110.25	30.75																																																																																										
															74,612.75	74,643.75	31.00																																																																																										
															75,146.00	75,177.00	31.00																																																																																										
															75,679.25	75,710.25	31.00																																																																																										
															76,212.50	76,243.50	31.00																																																																																										
															76,746.00	76,776.75	30.75																																																																																										
															77,279.25	77,310.25	31.00																																																																																										
															77,812.50	77,843.50	31.00																																																																																										
															78,345.75	78,376.75	31.00																																																																																										
															78,879.00	78,910.00	31.00																																																																																										
															79,412.50	79,443.25	30.75																																																																																										
															79,945.75	79,976.75	31.00																																																																																										
															80,479.00	80,510.00	31.00																																																																																										
															81,012.25	81,043.25	31.00																																																																																										
															81,545.50	81,576.50	31.00																																																																																										
															82,078.75	82,109.75	31.00																																																																																										
															82,612.25	82,643.25	31.00																																																																																										
															83,145.50	83,176.50	31.00																																																																																										
															83,678.75	83,709.75	31.00																																																																																										
															84,212.00	84,243.00	31.00																																																																																										
															84,745.25	84,776.25	31.00																																																																																										
															85,278.75	85,309.75	31.00																																																																																										
															85,812.00	85,843.00	31.00																																																																																										
															86,345.25	86,376.25	31.00																																																																																										
															86,878.50	86,909.50	31.00																																																																																										
															87,411.75	87,442.75	31.00																																																																																										
															87,945.25	87,976.25	31.00																																																																																										
															88,478.50	88,509.50	31.00																																																																																										
															89,011.75	89,042.75	31.00																																																																																										
															89,545.00	89,576.00	31.00																																																																																										
															90,078.25	90,109.25	31.00																																																																																										
															90,611.75	90,642.75	31.00																																																																																										
															91,145.00	91,176.00	31.00																																																																																										
															91,678.25	91,709.25	31.00																																																																																										
															92,211.50	92,242.50	31.00																																																																																										
															92,744.75	92,775.75	31.00																																																																																										
															93,278.25	93,309.25	31.00																																																																																										
															93,811.50	93,842.50	31.00																																																																																										
															94,344.75	94,375.75	31.00																																																																																										
															94,878.00	94,909.00	31.00																																																																																										
															95,411.25	95,442.25	31.00																																																																																										
															95,944.75	95,975.75	31.00																																																																																										
															96,478.00	96,509.00	31.00																																																																																										
															97,011.25	97,042.25	31.00																																																																																										
															97,544.50	97,575.50	31.00																																																																																										
															98,077.75	98,108.75	31.00																																																																																										
															98,611.25	98,642.00	30.75																																																																																										
															99,144.50	99,175.50	31.00																																																																																										
															99,677.75	99,708.75	31.00																																																																																										
															100,211.00	100,242.00	31.00																																																																																										
															100,744.25	100,775.25	31.00																																																																																										
															101,277.75	101,308.75	31.00																																																																																										
															101,811.00	101,842.00	31.00																																																																																										
															102,344.25	102,375.25	31.00																																																																																										
															102,877.50	102,908.50	31.00																																																																																										
															103,410.75	103,441.75	31.00																																																																																										
															103,944.25	103,975.00	30.75																																																																																										
															104,477.50	104,508.50	31.00																																																																																										
															105,010.75	105,041.75	31.00																																																																																										
															105,544.00	105,575.00	31.00																																																																																										
															106,077.25	106,108.25	31.00																																																																																										
															106,610.75	106,641.50	30.75																																																																																										
															107,144.00	107,175.00	31.00																																																																																										
