Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															621.50	637.75	16.25																																																																																										
															1,138.25	1,154.50	16.25																																																																																										
															1,655.00	1,671.25	16.25																																																																																										
															2,171.50	2,187.75	16.25																																																																																										
															2,688.25	2,704.50	16.25																																																																																										
															3,205.00	3,221.25	16.25																																																																																										
															3,721.50	3,737.75	16.25																																																																																										
															4,238.25	4,254.50	16.25																																																																																										
															4,754.75	4,788.00	33.25																																																																																										
															5,271.50	5,304.50	33.00																																																																																										
															5,788.25	5,804.50	16.25																																																																																										
															6,304.75	6,321.25	16.50																																																																																										
															6,838.25	6,854.50	16.25																																																																																										
															7,354.75	7,371.25	16.50																																																																																										
															7,871.50	7,887.75	16.25																																																																																										
															8,388.25	8,404.50	16.25																																																																																										
															8,904.75	8,921.25	16.50																																																																																										
															9,421.50	9,437.75	16.25																																																																																										
															9,938.25	9,954.50	16.25																																																																																										
															10,454.75	10,471.25	16.50																																																																																										
															10,971.50	10,987.75	16.25																																																																																										
															11,488.25	11,504.50	16.25																																																																																										
															12,004.75	12,021.25	16.50																																																																																										
															12,521.50	12,537.75	16.25																																																																																										
															13,038.25	13,071.25	33.00																																																																																										
															13,554.75	13,571.25	16.50																																																																																										
															14,071.50	14,087.75	16.25																																																																																										
															14,604.75	14,621.25	16.50																																																																																										
															15,121.50	15,137.75	16.25																																																																																										
															15,638.25	15,654.50	16.25																																																																																										
															16,154.75	16,171.25	16.50																																																																																										
															16,671.50	16,687.75	16.25																																																																																										
															17,188.25	17,204.50	16.25																																																																																										
															17,704.75	17,721.25	16.50																																																																																										
															18,221.50	18,237.75	16.25																																																																																										
															18,738.25	18,754.50	16.25																																																																																										
															19,254.75	19,271.25	16.50																																																																																										
															19,771.50	19,787.75	16.25																																																																																										
															20,288.25	20,304.50	16.25																																																																																										
															20,804.75	20,837.75	33.00																																																																																										
															21,321.50	21,337.75	16.25																																																																																										
															21,838.25	21,854.50	16.25																																																																																										
															22,354.75	22,371.00	16.25																																																																																										
															22,888.25	22,904.50	16.25																																																																																										
															23,404.75	23,421.00	16.25																																																																																										
															23,921.50	23,937.75	16.25																																																																																										
															24,438.25	24,454.50	16.25																																																																																										
															24,954.75	24,971.00	16.25																																																																																										
															25,471.50	25,487.75	16.25																																																																																										
															25,988.25	26,004.50	16.25																																																																																										
															26,504.75	26,521.00	16.25																																																																																										
															27,021.50	27,037.75	16.25																																																																																										
															27,538.25	27,554.50	16.25																																																																																										
															28,054.75	28,071.00	16.25																																																																																										
															28,571.50	28,587.75	16.25																																																																																										
															29,088.25	29,121.25	33.00																																																																																										
															29,604.75	29,621.00	16.25																																																																																										
															30,121.50	30,137.75	16.25																																																																																										
															30,654.75	30,671.00	16.25																																																																																										
															31,171.50	31,187.75	16.25																																																																																										
															31,688.00	31,704.50	16.50																																																																																										
															32,204.75	32,221.00	16.25																																																																																										
															32,721.50	32,737.75	16.25																																																																																										
															33,238.00	33,254.50	16.50																																																																																										
															33,754.75	33,771.00	16.25																																																																																										
															34,271.50	34,287.75	16.25																																																																																										
															34,788.00	34,804.50	16.50																																																																																										
															35,304.75	35,321.00	16.25																																																																																										
															35,821.50	35,837.75	16.25																																																																																										
															36,338.00	36,354.50	16.50																																																																																										
