Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															2,276.00	2,407.00	131.00																																																																																										
															2,876.00	3,007.00	131.00																																																																																										
															3,476.00	3,607.00	131.00																																																																																										
															4,076.00	4,207.00	131.00																																																																																										
															4,676.00	4,807.00	131.00																																																																																										
															5,276.00	5,407.00	131.00																																																																																										
															5,876.00	6,007.00	131.00																																																																																										
															6,476.00	6,607.00	131.00																																																																																										
															7,076.00	7,223.50	147.50																																																																																										
															7,676.00	7,823.50	147.50																																																																																										
															8,276.00	8,423.50	147.50																																																																																										
															8,876.00	9,023.50	147.50																																																																																										
															9,476.00	9,623.50	147.50																																																																																										
															10,076.00	10,223.50	147.50																																																																																										
															10,676.00	10,823.50	147.50																																																																																										
															11,276.00	11,423.50	147.50																																																																																										
															11,876.00	12,023.50	147.50																																																																																										
															12,476.00	12,623.50	147.50																																																																																										
															13,076.00	13,223.50	147.50																																																																																										
															13,692.50	13,823.50	131.00																																																																																										
															14,292.50	14,423.50	131.00																																																																																										
															14,892.50	15,023.50	131.00																																																																																										
															15,492.50	15,623.50	131.00																																																																																										
															16,092.50	16,223.50	131.00																																																																																										
															16,692.50	16,823.50	131.00																																																																																										
															17,292.50	17,423.50	131.00																																																																																										
															17,892.50	18,040.25	147.75																																																																																										
															18,492.50	18,640.25	147.75																																																																																										
															19,092.50	19,240.25	147.75																																																																																										
															19,692.50	19,840.25	147.75																																																																																										
															20,292.50	20,440.25	147.75																																																																																										
															20,892.50	21,040.25	147.75																																																																																										
															21,492.50	21,640.25	147.75																																																																																										
															22,092.50	22,240.25	147.75																																																																																										
															22,692.50	22,840.25	147.75																																																																																										
															23,292.50	23,440.25	147.75																																																																																										
															23,892.50	24,040.25	147.75																																																																																										
															24,492.50	24,640.25	147.75																																																																																										
															25,092.50	25,240.25	147.75																																																																																										
															25,692.50	25,840.25	147.75																																																																																										
															26,309.25	26,440.25	131.00																																																																																										
															26,909.25	27,040.25	131.00																																																																																										
															27,509.25	27,640.25	131.00																																																																																										
															28,109.25	28,240.25	131.00																																																																																										
															28,709.25	28,840.25	131.00																																																																																										
															29,309.25	29,440.25	131.00																																																																																										
															29,909.25	30,040.25	131.00																																																																																										
															30,509.25	30,656.75	147.50																																																																																										
															31,109.25	31,256.75	147.50																																																																																										
															31,709.25	31,856.75	147.50																																																																																										
															32,309.25	32,456.75	147.50																																																																																										
															32,909.25	33,056.75	147.50																																																																																										
															33,509.25	33,656.75	147.50																																																																																										
															34,109.25	34,256.75	147.50																																																																																										
															34,709.25	34,856.75	147.50																																																																																										
															35,309.25	35,456.75	147.50																																																																																										
															35,909.25	36,056.75	147.50																																																																																										
															36,509.25	36,656.75	147.50																																																																																										
															37,109.25	37,256.75	147.50																																																																																										
															37,709.25	37,856.75	147.50																																																																																										
															38,325.75	38,456.75	131.00																																																																																										
															38,925.75	39,056.75	131.00																																																																																										
															39,525.75	39,656.75	131.00																																																																																										
															40,125.75	40,256.75	131.00																																																																																										
															40,725.75	40,856.75	131.00																																																																																										
															41,325.75	41,456.75	131.00																																																																																										
															41,925.75	42,073.50	147.75																																																																																										
															42,525.75	42,673.50	147.75																																																																																										
															43,125.75	43,273.50	147.75																																																																																										
															43,725.75	43,873.50	147.75																																																																																										
															44,325.75	44,473.50	147.75																																																																																										
															44,925.75	45,073.50	147.75																																																																																										
															45,525.75	45,673.50	147.75																																																																																										
															46,125.75	46,273.50	147.75																																																																																										
															46,725.75	46,873.50	147.75																																																																																										
															47,325.75	47,473.50	147.75																																																																																										
															47,925.75	48,073.50	147.75																																																																																										
															48,525.75	48,673.50	147.75																																																																																										
