Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															0.25	264.75	264.50																																																																																										
															2,632.25	3,148.00	515.75																																																																																										
															3,648.75	4,164.50	515.75																																																																																										
															4,665.50	5,181.00	515.50																																																																																										
															5,682.00	6,197.75	515.75																																																																																										
															6,698.50	7,197.75	499.25																																																																																										
															7,715.25	8,214.25	499.00																																																																																										
															8,731.75	9,247.50	515.75																																																																																										
															9,748.50	10,264.00	515.50																																																																																										
															10,765.00	11,264.00	499.00																																																																																										
															11,781.50	12,297.25	515.75																																																																																										
															12,814.75	13,314.00	499.25																																																																																										
															13,814.75	14,313.75	499.00																																																																																										
															14,831.50	15,330.50	499.00																																																																																										
															15,848.00	16,347.00	499.00																																																																																										
															16,848.00	17,347.00	499.00																																																																																										
															17,864.50	18,363.50	499.00																																																																																										
															18,864.50	19,363.50	499.00																																																																																										
															19,881.00	20,380.00	499.00																																																																																										
															20,897.75	21,380.00	482.25																																																																																										
															21,897.50	22,396.75	499.25																																																																																										
															22,897.50	23,396.50	499.00																																																																																										
															23,914.25	24,413.25	499.00																																																																																										
															24,930.75	25,429.75	499.00																																																																																										
															25,930.75	26,429.75	499.00																																																																																										
															26,947.25	27,446.25	499.00																																																																																										
															27,947.25	28,446.25	499.00																																																																																										
															28,963.75	29,462.75	499.00																																																																																										
															29,980.50	30,479.50	499.00																																																																																										
															30,980.25	31,479.25	499.00																																																																																										
															31,997.00	32,496.00	499.00																																																																																										
															32,996.75	33,496.00	499.25																																																																																										
															33,996.75	34,495.75	499.00																																																																																										
															35,013.50	35,512.50	499.00																																																																																										
															36,013.25	36,512.25	499.00																																																																																										
															37,030.00	37,512.25	482.25																																																																																										
															38,029.75	38,529.00	499.25																																																																																										
															39,046.50	39,545.50	499.00																																																																																										
															40,046.50	40,545.50	499.00																																																																																										
															41,046.25	41,562.00	515.75																																																																																										
															42,063.00	42,562.00	499.00																																																																																										
															43,079.50	43,578.50	499.00																																																																																										
															44,079.50	44,578.50	499.00																																																																																										
															45,079.50	45,578.50	499.00																																																																																										
															46,096.00	46,595.00	499.00																																																																																										
															47,096.00	47,595.00	499.00																																																																																										
															48,112.50	48,611.50	499.00																																																																																										
															49,129.00	49,628.25	499.25																																																																																										
															50,129.00	50,628.00	499.00																																																																																										
															51,129.00	51,628.00	499.00																																																																																										
															52,145.50	52,644.75	499.25																																																																																										
															53,162.25	53,661.25	499.00																																																																																										
															54,178.75	54,694.50	515.75																																																																																										
															55,212.00	55,711.00	499.00																																																																																										
															56,228.75	56,727.75	499.00																																																																																										
															57,245.25	57,744.25	499.00																																																																																										
															58,245.25	58,761.00	515.75																																																																																										
															59,278.50	59,777.50	499.00																																																																																										
															60,295.00	60,794.00	499.00																																																																																										
															61,311.75	61,810.75	499.00																																																																																										
															62,328.25	62,827.25	499.00																																																																																										
															63,344.75	63,844.00	499.25																																																																																										
															64,361.50	64,860.50	499.00																																																																																										
															65,378.00	65,893.75	515.75																																																																																										
															66,394.75	66,893.75	499.00																																																																																										
															67,411.25	67,927.00	515.75																																																																																										
															68,427.75	68,943.50	515.75																																																																																										
															69,461.00	69,976.75	515.75																																																																																										
															70,477.75	70,993.50	515.75																																																																																										
															71,494.25	71,993.25	499.00																																																																																										
															72,511.00	73,010.00	499.00																																																																																										
															73,510.75	74,026.50	515.75																																																																																										
															74,527.50	75,026.50	499.00																																																																																										
															75,544.00	76,043.00	499.00																																																																																										
															76,560.75	77,059.75	499.00																																																																																										
															77,577.25	78,076.25	499.00																																																																																										
															78,593.75	79,093.00	499.25																																																																																										
															79,610.50	80,109.50	499.00																																																																																										
															80,627.00	81,126.00	499.00																																																																																										
															81,643.75	82,142.75	499.00																																																																																										
															82,643.50	83,159.25	515.75																																																																																										
															83,660.25	84,159.25	499.00																																																																																										
															84,676.75	85,192.50	515.75																																																																																										
															85,710.00	86,209.00	499.00																																																																																										
															86,726.75	87,225.75	499.00																																																																																										
															87,743.25	88,242.25	499.00																																																																																										
															88,743.25	89,258.75	515.50																																																																																										
															89,759.75	90,275.50	515.75																																																																																										
															90,776.25	91,275.50	499.25																																																																																										
															91,793.00	92,292.00	499.00																																																																																										
															92,793.00	93,308.50	515.50																																																																																										
															93,809.50	94,325.25	515.75																																																																																										
															94,826.00	95,325.25	499.25																																																																																										
															95,842.75	96,325.00	482.25																																																																																										
															96,842.75	97,341.75	499.00																																																																																										
															97,842.50	98,341.50	499.00																																																																																										
															98,859.25	99,341.50	482.25																																																																																										
															99,859.00	100,358.25	499.25																																																																																										
															100,859.00	101,374.75	515.75																																																																																										
															101,875.75	102,374.75	499.00																																																																																										
															102,875.50	103,391.25	515.75																																																																																										
															103,892.25	104,407.75	515.50																																																																																										
															104,908.75	105,407.75	499.00																																																																																										
															105,908.75	106,424.50	515.75																																																																																										
															106,925.25	107,424.25	499.00																																																																																										
															107,925.25	108,441.00	515.75																																																																																										
															108,941.75	109,440.75	499.00																																																																																										
															109,941.75	110,457.50	515.75																																																																																										
															110,958.25	111,474.00	515.75																																																																																										
															111,991.75	112,490.75	499.00																																																																																										
															113,008.25	113,524.00	515.75																																																																																										
															114,024.75	114,540.50	515.75																																																																																										
															115,041.50	115,540.50	499.00																																																																																										
															116,041.25	116,557.00	515.75																																																																																										
															117,074.75	117,573.75	499.00																																																																																										
															118,091.25	118,590.25	499.00																																																																																										
															119,091.25	119,606.75	515.50																																																																																										
															120,124.50	120,623.50	499.00																																																																																										
															121,141.00	121,640.00	499.00																																																																																										
