Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															1,690.50	2,654.75	964.25																																																																																										
															3,190.50	4,188.00	997.50																																																																																										
															4,707.00	5,688.00	981.00																																																																																										
															6,223.50	7,204.50	981.00																																																																																										
															7,740.00	8,721.00	981.00																																																																																										
															9,256.75	10,237.50	980.75																																																																																										
															10,773.25	11,754.25	981.00																																																																																										
															12,289.75	13,270.75	981.00																																																																																										
															13,806.50	14,804.00	997.50																																																																																										
															15,339.50	16,320.50	981.00																																																																																										
															16,856.25	17,837.00	980.75																																																																																										
															18,372.75	19,353.75	981.00																																																																																										
															19,889.25	20,870.25	981.00																																																																																										
															21,406.00	22,386.75	980.75																																																																																										
															22,922.50	23,903.25	980.75																																																																																										
															24,439.00	25,436.50	997.50																																																																																										
															25,972.25	26,969.75	997.50																																																																																										
															27,488.75	28,469.75	981.00																																																																																										
															29,005.50	29,986.25	980.75																																																																																										
															30,522.00	31,502.75	980.75																																																																																										
															32,038.50	33,019.50	981.00																																																																																										
															33,555.00	34,536.00	981.00																																																																																										
															35,071.75	36,052.50	980.75																																																																																										
															36,588.25	37,585.75	997.50																																																																																										
															38,121.50	39,102.25	980.75																																																																																										
															39,638.00	40,619.00	981.00																																																																																										
															41,154.50	42,135.50	981.00																																																																																										
															42,671.25	43,652.00	980.75																																																																																										
															44,187.75	45,168.75	981.00																																																																																										
															45,704.25	46,685.25	981.00																																																																																										
															47,204.25	48,218.50	1,014.25																																																																																										
															48,754.00	49,718.25	964.25																																																																																										
															50,254.00	51,235.00	981.00																																																																																										
															51,770.50	52,751.50	981.00																																																																																										
															53,287.00	54,268.00	981.00																																																																																										
															54,803.75	55,784.50	980.75																																																																																										
															56,303.50	57,301.25	997.75																																																																																										
															57,836.75	58,834.50	997.75																																																																																										
															59,370.00	60,367.75	997.75																																																																																										
															60,886.50	61,867.50	981.00																																																																																										
															62,403.25	63,384.00	980.75																																																																																										
															63,919.75	64,900.75	981.00																																																																																										
															65,436.25	66,417.25	981.00																																																																																										
															66,953.00	67,933.75	980.75																																																																																										
															68,469.50	69,450.50	981.00																																																																																										
															69,986.00	70,983.50	997.50																																																																																										
															71,519.25	72,516.75	997.50																																																																																										
															73,035.75	74,016.75	981.00																																																																																										
															74,552.50	75,533.25	980.75																																																																																										
															76,069.00	77,050.00	981.00																																																																																										
															77,585.50	78,566.50	981.00																																																																																										
															79,102.00	80,083.00	981.00																																																																																										
