Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															789.50	870.50	81.00																																																																																										
															1,339.50	1,420.50	81.00																																																																																										
															1,889.50	1,970.50	81.00																																																																																										
															2,439.50	2,520.50	81.00																																																																																										
															3,006.25	3,070.50	64.25																																																																																										
															3,556.00	3,620.50	64.50																																																																																										
															4,106.00	4,170.50	64.50																																																																																										
															4,656.00	4,720.25	64.25																																																																																										
															5,206.00	5,270.25	64.25																																																																																										
															5,756.00	5,820.25	64.25																																																																																										
															6,306.00	6,370.25	64.25																																																																																										
															6,856.00	6,920.25	64.25																																																																																										
															7,405.75	7,470.25	64.50																																																																																										
															7,955.75	8,036.75	81.00																																																																																										
															8,505.75	8,586.75	81.00																																																																																										
															9,055.75	9,136.75	81.00																																																																																										
															9,605.75	9,686.75	81.00																																																																																										
															10,172.25	10,236.75	64.50																																																																																										
															10,722.25	10,786.75	64.50																																																																																										
															11,272.25	11,336.50	64.25																																																																																										
															11,822.25	11,886.50	64.25																																																																																										
															12,372.25	12,436.50	64.25																																																																																										
															12,922.25	12,986.50	64.25																																																																																										
															13,472.00	13,536.50	64.50																																																																																										
															14,022.00	14,086.50	64.50																																																																																										
															14,572.00	14,636.50	64.50																																																																																										
															15,122.00	15,186.25	64.25																																																																																										
															15,672.00	15,753.00	81.00																																																																																										
															16,222.00	16,303.00	81.00																																																																																										
															16,772.00	16,853.00	81.00																																																																																										
															17,321.75	17,402.75	81.00																																																																																										
															17,871.75	17,952.75	81.00																																																																																										
															18,421.75	18,502.75	81.00																																																																																										
															18,971.75	19,052.75	81.00																																																																																										
															19,521.75	19,602.75	81.00																																																																																										
															20,088.25	20,152.75	64.50																																																																																										
															20,638.25	20,702.75	64.50																																																																																										
															21,188.25	21,252.75	64.50																																																																																										
															21,738.25	21,802.50	64.25																																																																																										
															22,288.25	22,352.50	64.25																																																																																										
															22,838.25	22,902.50	64.25																																																																																										
															23,388.25	23,452.50	64.25																																																																																										
															23,938.00	24,002.50	64.50																																																																																										
															24,488.00	24,552.50	64.50																																																																																										
															25,038.00	25,102.25	64.25																																																																																										
															25,588.00	25,652.25	64.25																																																																																										
															26,138.00	26,202.25	64.25																																																																																										
															26,688.00	26,752.25	64.25																																																																																										
															27,238.00	27,319.00	81.00																																																																																										
															27,787.75	27,868.75	81.00																																																																																										
															28,337.75	28,418.75	81.00																																																																																										
															28,887.75	28,968.75	81.00																																																																																										
															29,437.75	29,518.75	81.00																																																																																										
															30,004.25	30,068.75	64.50																																																																																										
															30,554.25	30,618.75	64.50																																																																																										
															31,104.25	31,168.75	64.50																																																																																										
															31,654.25	31,718.50	64.25																																																																																										
															32,204.25	32,268.50	64.25																																																																																										
															32,754.25	32,818.50	64.25																																																																																										
															33,304.25	33,368.50	64.25																																																																																										
															33,854.00	33,918.50	64.50																																																																																										
															34,404.00	34,468.50	64.50																																																																																										
															34,954.00	35,035.00	81.00																																																																																										
															35,504.00	35,585.00	81.00																																																																																										
															36,054.00	36,135.00	81.00																																																																																										
															36,604.00	36,685.00	81.00																																																																																										
															37,154.00	37,235.00	81.00																																																																																										
															37,703.75	37,784.75	81.00																																																																																										
															38,253.75	38,334.75	81.00																																																																																										
															38,803.75	38,884.75	81.00																																																																																										
															39,370.50	39,434.75	64.25																																																																																										
															39,920.50	39,984.75	64.25																																																																																										
