Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															0.25	4,136.25	4,136.00																																																																																										
															4,654.75	5,652.75	998.00																																																																																										
															6,188.00	7,186.00	998.00																																																																																										
															7,721.25	8,719.25	998.00																																																																																										
															9,254.50	10,252.50	998.00																																																																																										
															10,787.75	11,785.75	998.00																																																																																										
															12,321.00	13,335.75	1,014.75																																																																																										
															13,854.25	14,869.00	1,014.75																																																																																										
															15,387.25	16,402.00	1,014.75																																																																																										
															16,920.50	17,918.75	998.25																																																																																										
															18,453.75	19,452.00	998.25																																																																																										
															19,970.50	20,985.25	1,014.75																																																																																										
															21,503.75	22,501.75	998.00																																																																																										
															23,020.25	24,035.00	1,014.75																																																																																										
															24,553.50	25,551.50	998.00																																																																																										
															26,070.00	27,068.00	998.00																																																																																										
															27,603.25	28,601.25	998.00																																																																																										
															29,119.75	30,134.50	1,014.75																																																																																										
															30,653.00	31,667.75	1,014.75																																																																																										
															32,186.25	33,184.25	998.00																																																																																										
															33,719.50	34,734.25	1,014.75																																																																																										
															35,252.75	36,267.50	1,014.75																																																																																										
															36,786.00	37,800.75	1,014.75																																																																																										
															38,319.25	39,317.25	998.00																																																																																										
															39,852.50	40,867.25	1,014.75																																																																																										
															41,385.75	42,383.75	998.00																																																																																										
															42,919.00	43,917.00	998.00																																																																																										
															44,435.50	45,433.50	998.00																																																																																										
															45,952.00	46,950.00	998.00																																																																																										
															47,468.50	48,483.25	1,014.75																																																																																										
															49,001.75	50,000.00	998.25																																																																																										
															50,518.50	51,533.25	1,014.75																																																																																										
															52,051.75	53,049.75	998.00																																																																																										
															53,568.25	54,566.25	998.00																																																																																										
															55,101.50	56,099.50	998.00																																																																																										
															56,618.00	57,632.75	1,014.75																																																																																										
															58,151.25	59,166.00	1,014.75																																																																																										
															59,684.50	60,699.25	1,014.75																																																																																										
															61,217.75	62,215.75	998.00																																																																																										
															62,751.00	63,765.75	1,014.75																																																																																										
															64,284.25	65,282.25	998.00																																																																																										
															65,800.75	66,798.75	998.00																																																																																										
															67,317.25	68,315.25	998.00																																																																																										
															68,833.75	69,848.50	1,014.75																																																																																										
															70,367.00	71,365.25	998.25																																																																																										
															71,883.75	72,898.50	1,014.75																																																																																										
															73,416.75	74,415.00	998.25																																																																																										
															74,933.50	75,948.25	1,014.75																																																																																										
															76,466.75	77,464.75	998.00																																																																																										
															77,983.25	78,981.25	998.00																																																																																										
