Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															0.25	2,640.25	2,640.00																																																																																										
															4,873.25	5,006.75	133.50																																																																																										
															6,506.50	6,640.00	133.50																																																																																										
															8,139.75	8,273.25	133.50																																																																																										
															9,773.00	9,906.50	133.50																																																																																										
															11,422.75	11,556.25	133.50																																																																																										
															13,056.00	13,189.50	133.50																																																																																										
															14,706.00	14,839.50	133.50																																																																																										
															16,355.75	16,489.25	133.50																																																																																										
															17,989.00	18,122.50	133.50																																																																																										
															19,622.25	19,755.75	133.50																																																																																										
															21,255.50	21,389.00	133.50																																																																																										
															22,888.75	23,022.25	133.50																																																																																										
															24,522.00	24,655.50	133.50																																																																																										
															26,171.75	26,288.75	117.00																																																																																										
															27,788.25	27,921.75	133.50																																																																																										
															29,421.50	29,555.00	133.50																																																																																										
															31,054.75	31,188.25	133.50																																																																																										
															32,704.75	32,821.50	116.75																																																																																										
															34,321.25	34,454.75	133.50																																																																																										
															35,971.00	36,088.00	117.00																																																																																										
															37,587.75	37,721.25	133.50																																																																																										
															39,220.75	39,354.50	133.75																																																																																										
															40,854.00	40,987.50	133.50																																																																																										
															42,487.25	42,620.75	133.50																																																																																										
															44,120.50	44,254.00	133.50																																																																																										
															45,753.75	45,887.25	133.50																																																																																										
															47,387.00	47,520.50	133.50																																																																																										
															49,036.75	49,153.75	117.00																																																																																										
															50,653.50	50,787.00	133.50																																																																																										
															52,286.50	52,420.25	133.75																																																																																										
															53,936.50	54,053.25	116.75																																																																																										
															55,553.00	55,686.50	133.50																																																																																										
															57,186.25	57,319.75	133.50																																																																																										
															58,819.50	58,953.00	133.50																																																																																										
															60,452.75	60,586.25	133.50																																																																																										
															62,086.00	62,219.50	133.50																																																																																										
															63,719.00	63,852.75	133.75																																																																																										
															65,352.25	65,485.75	133.50																																																																																										
															66,985.50	67,119.00	133.50																																																																																										
															68,618.75	68,752.25	133.50																																																																																										
															70,252.00	70,385.50	133.50																																																																																										
															71,902.00	72,035.50	133.50																																																																																										
															73,551.75	73,668.75	117.00																																																																																										
															75,168.25	75,301.75	133.50																																																																																										
															76,818.25	76,935.00	116.75																																																																																										
															78,434.75	78,568.25	133.50																																																																																										
															80,068.00	80,201.50	133.50																																																																																										
															81,701.25	81,834.75	133.50																																																																																										
															83,334.50	83,468.00	133.50																																																																																										
															84,984.25	85,101.25	117.00																																																																																										
															86,617.50	86,734.25	116.75																																																																																										
															88,234.00	88,367.50	133.50																																																																																										
															89,867.25	90,000.75	133.50																																																																																										
															91,500.50	91,634.00	133.50																																																																																										
