Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															0.25	537.00	536.75																																																																																										
															3,105.50	3,586.75	481.25																																																																																										
															5,105.25	5,586.75	481.50																																																																																										
															7,088.50	7,586.50	498.00																																																																																										
															9,088.25	9,586.25	498.00																																																																																										
															11,088.25	11,586.25	498.00																																																																																										
															13,088.00	13,586.00	498.00																																																																																										
															15,088.00	15,586.00	498.00																																																																																										
															17,087.75	17,585.75	498.00																																																																																										
															19,087.75	19,585.75	498.00																																																																																										
															21,087.50	21,585.50	498.00																																																																																										
															23,087.50	23,585.25	497.75																																																																																										
															25,104.00	25,585.25	481.25																																																																																										
															27,087.00	27,585.00	498.00																																																																																										
															29,087.00	29,585.00	498.00																																																																																										
															31,103.50	31,601.50	498.00																																																																																										
															33,103.25	33,601.25	498.00																																																																																										
															35,103.25	35,601.25	498.00																																																																																										
															37,119.75	37,617.75	498.00																																																																																										
															39,119.50	39,617.50	498.00																																																																																										
															41,119.50	41,617.50	498.00																																																																																										
															43,119.25	43,617.25	498.00																																																																																										
															45,119.25	45,617.25	498.00																																																																																										
															47,135.75	47,617.00	481.25																																																																																										
															49,119.00	49,617.00	498.00																																																																																										
															51,118.75	51,616.75	498.00																																																																																										
															53,118.75	53,616.50	497.75																																																																																										
															55,118.50	55,616.50	498.00																																																																																										
															57,118.25	57,616.25	498.00																																																																																										
															59,118.25	59,616.25	498.00																																																																																										
															61,118.00	61,616.00	498.00																																																																																										
															63,118.00	63,616.00	498.00																																																																																										
															65,117.75	65,615.75	498.00																																																																																										
															67,117.75	67,615.50	497.75																																																																																										
															69,117.50	69,615.50	498.00																																																																																										
															71,117.25	71,615.25	498.00																																																																																										
															73,117.25	73,615.25	498.00																																																																																										
															75,117.00	75,615.00	498.00																																																																																										
															77,117.00	77,615.00	498.00																																																																																										
															79,116.75	79,614.75	498.00																																																																																										
															81,116.75	81,598.00	481.25																																																																																										
															83,099.75	83,581.25	481.50																																																																																										
															85,083.00	85,564.25	481.25																																																																																										
															87,083.00	87,564.25	481.25																																																																																										
															89,066.00	89,547.50	481.50																																																																																										
															91,049.25	91,530.50	481.25																																																																																										
															93,032.50	93,513.75	481.25																																																																																										
															95,015.75	95,513.75	498.00																																																																																										
															97,015.50	97,513.50	498.00																																																																																										
															99,032.00	99,513.50	481.50																																																																																										
															101,015.25	101,513.25	498.00																																																																																										
															103,015.25	103,513.00	497.75																																																																																										
															105,031.75	105,529.75	498.00																																																																																										
															107,031.50	107,529.50	498.00																																																																																										
															109,031.50	109,529.25	497.75																																																																																										
