Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															0.25	30.25	30.00																																																																																										
															2,429.75	2,446.50	16.75																																																																																										
															3,963.00	3,979.75	16.75																																																																																										
															5,463.00	5,479.50	16.50																																																																																										
															6,979.50	6,996.25	16.75																																																																																										
															8,496.00	8,512.75	16.75																																																																																										
															10,029.25	10,046.00	16.75																																																																																										
															11,529.25	11,545.75	16.50																																																																																										
															13,045.75	13,062.50	16.75																																																																																										
															14,562.25	14,579.00	16.75																																																																																										
															16,095.50	16,112.25	16.75																																																																																										
															17,628.75	17,645.25	16.50																																																																																										
															19,145.25	19,162.00	16.75																																																																																										
															20,662.00	20,678.50	16.50																																																																																										
															22,178.50	22,195.00	16.50																																																																																										
															23,695.00	23,711.50	16.50																																																																																										
															25,228.25	25,244.75	16.50																																																																																										
															26,728.00	26,744.75	16.75																																																																																										
															28,261.25	28,278.00	16.75																																																																																										
															29,778.00	29,794.50	16.50																																																																																										
															31,294.50	31,311.00	16.50																																																																																										
															32,811.00	32,827.75	16.75																																																																																										
															34,344.25	34,360.75	16.50																																																																																										
															35,844.25	35,860.75	16.50																																																																																										
															37,360.75	37,377.25	16.50																																																																																										
															38,894.00	38,910.50	16.50																																																																																										
															40,427.25	40,443.75	16.50																																																																																										
															41,943.75	41,960.25	16.50																																																																																										
															43,460.25	43,477.00	16.75																																																																																										
															44,976.75	44,993.50	16.75																																																																																										
															46,510.00	46,526.75	16.75																																																																																										
															48,043.25	48,060.00	16.75																																																																																										
															49,559.75	49,576.50	16.75																																																																																										
															51,076.50	51,093.00	16.50																																																																																										
															52,593.00	52,609.50	16.50																																																																																										
															54,109.50	54,126.25	16.75																																																																																										
															55,626.00	55,642.75	16.75																																																																																										
															57,142.75	57,159.25	16.50																																																																																										
															58,659.25	58,675.75	16.50																																																																																										
															60,175.75	60,192.50	16.75																																																																																										
															61,692.25	61,709.00	16.75																																																																																										
															63,209.00	63,225.50	16.50																																																																																										
															64,742.00	64,758.75	16.75																																																																																										
															66,258.75	66,275.25	16.50																																																																																										
															67,775.25	67,791.75	16.50																																																																																										
															69,291.75	69,308.50	16.75																																																																																										
															70,808.25	70,825.00	16.75																																																																																										
															72,325.00	72,341.50	16.50																																																																																										
															73,841.50	73,858.00	16.50																																																																																										
															75,374.75	75,391.25	16.50																																																																																										
															76,874.50	76,891.25	16.75																																																																																										
															78,391.25	78,407.75	16.50																																																																																										
