Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															0.25	76.50	76.25																																																																																										
															2,543.00	3,043.00	500.00																																																																																										
															4,542.75	5,043.00	500.25																																																																																										
															6,542.75	7,042.75	500.00																																																																																										
															8,559.25	9,042.75	483.50																																																																																										
															10,542.25	11,042.50	500.25																																																																																										
															12,559.00	13,059.00	500.00																																																																																										
															14,558.75	15,059.00	500.25																																																																																										
															16,558.50	17,058.75	500.25																																																																																										
															18,558.50	19,058.50	500.00																																																																																										
															20,558.25	21,041.75	483.50																																																																																										
															22,541.50	23,025.00	483.50																																																																																										
															24,524.75	25,008.25	483.50																																																																																										
															26,508.00	26,991.50	483.50																																																																																										
															28,491.00	28,974.50	483.50																																																																																										
															30,491.00	30,957.75	466.75																																																																																										
															32,457.50	32,941.00	483.50																																																																																										
															34,457.25	34,940.75	483.50																																																																																										
															36,440.50	36,924.00	483.50																																																																																										
															38,423.75	38,924.00	500.25																																																																																										
															40,423.50	40,923.75	500.25																																																																																										
															42,440.00	42,923.50	483.50																																																																																										
															44,423.25	44,923.50	500.25																																																																																										
															46,439.75	46,923.25	483.50																																																																																										
															48,439.75	48,923.25	483.50																																																																																										
															50,422.75	50,923.00	500.25																																																																																										
															52,422.75	52,923.00	500.25																																																																																										
															54,422.50	54,922.75	500.25																																																																																										
															56,439.00	56,922.50	483.50																																																																																										
															58,422.25	58,922.50	500.25																																																																																										
															60,422.25	60,922.25	500.00																																																																																										
															62,422.00	62,922.25	500.25																																																																																										
															64,422.00	64,922.00	500.00																																																																																										
															66,438.50	66,938.50	500.00																																																																																										
															68,438.25	68,938.50	500.25																																																																																										
															70,438.25	70,938.25	500.00																																																																																										
															72,438.00	72,938.25	500.25																																																																																										
															74,454.50	74,938.00	483.50																																																																																										
															76,437.75	76,937.75	500.00																																																																																										
															78,437.50	78,937.75	500.25																																																																																										
															80,437.50	80,937.50	500.00																																																																																										
															82,437.25	82,937.50	500.25																																																																																										
															84,437.25	84,937.25	500.00																																																																																										
															86,453.75	86,937.25	483.50																																																																																										
															88,436.75	88,937.00	500.25																																																																																										
															90,436.75	90,937.00	500.25																																																																																										
															92,436.50	92,936.75	500.25																																																																																										
															94,436.50	94,936.50	500.00																																																																																										
															96,436.25	96,936.50	500.25																																																																																										
															98,452.75	98,953.00	500.25																																																																																										
															100,469.25	100,952.75	483.50																																																																																										
															102,452.50	102,952.75	500.25																																																																																										
															104,452.50	104,952.50	500.00																																																																																										
															106,452.25	106,952.50	500.25																																																																																										
															108,452.00	108,952.25	500.25																																																																																										
															110,468.75	110,952.25	483.50																																																																																										
															112,468.50	112,968.75	500.25																																																																																										
