Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															1,184.75	1,683.25	498.50																																																																																										
															3,184.50	3,683.00	498.50																																																																																										
															5,184.50	5,682.75	498.25																																																																																										
															7,201.00	7,682.75	481.75																																																																																										
															9,184.25	9,682.50	498.25																																																																																										
															11,200.75	11,699.25	498.50																																																																																										
															13,217.25	13,715.75	498.50																																																																																										
															15,217.00	15,715.50	498.50																																																																																										
															17,217.00	17,715.50	498.50																																																																																										
															19,233.50	19,715.25	481.75																																																																																										
															21,216.75	21,715.25	498.50																																																																																										
															23,216.50	23,715.00	498.50																																																																																										
															25,216.50	25,715.00	498.50																																																																																										
															27,216.25	27,714.75	498.50																																																																																										
															29,216.25	29,714.75	498.50																																																																																										
															31,216.00	31,714.50	498.50																																																																																										
															33,232.50	33,714.25	481.75																																																																																										
															35,215.75	35,714.25	498.50																																																																																										
															37,215.75	37,714.00	498.25																																																																																										
															39,232.25	39,714.00	481.75																																																																																										
															41,215.50	41,713.75	498.25																																																																																										
															43,215.25	43,713.75	498.50																																																																																										
															45,215.25	45,713.50	498.25																																																																																										
															47,215.00	47,713.50	498.50																																																																																										
															49,215.00	49,713.25	498.25																																																																																										
															51,231.50	51,729.75	498.25																																																																																										
															53,248.00	53,746.50	498.50																																																																																										
															55,264.50	55,763.00	498.50																																																																																										
															57,264.25	57,762.75	498.50																																																																																										
															59,281.00	59,779.25	498.25																																																																																										
															61,297.50	61,795.75	498.25																																																																																										
															63,297.25	63,795.75	498.50																																																																																										
															65,313.75	65,795.50	481.75																																																																																										
															67,297.00	67,795.50	498.50																																																																																										
															69,297.00	69,795.25	498.25																																																																																										
															71,313.50	71,795.25	481.75																																																																																										
															73,313.25	73,795.00	481.75																																																																																										
															75,296.50	75,795.00	498.50																																																																																										
															77,296.50	77,794.75	498.25																																																																																										
															79,313.00	79,794.75	481.75																																																																																										
															81,296.25	81,794.50	498.25																																																																																										
															83,312.75	83,794.50	481.75																																																																																										
															85,296.00	85,794.25	498.25																																																																																										
															87,312.50	87,810.75	498.25																																																																																										
															89,312.25	89,810.75	498.50																																																																																										
															91,328.75	91,810.50	481.75																																																																																										
															93,312.00	93,810.50	498.50																																																																																										
															95,328.50	95,810.25	481.75																																																																																										
															97,328.50	97,826.75	498.25																																																																																										
															99,345.00	99,843.50	498.50																																																																																										
															101,361.50	101,860.00	498.50																																																																																										
															103,361.50	103,859.75	498.25																																																																																										
															105,361.25	105,859.50	498.25																																																																																										
															107,361.25	107,859.50	498.25																																																																																										
															109,361.00	109,859.25	498.25																																																																																										
															111,361.00	111,859.25	498.25																																																																																										
															113,360.75	113,859.00	498.25																																																																																										
															115,360.50	115,859.00	498.50																																																																																										
															117,360.50	117,858.75	498.25																																																																																										
															119,360.25	119,858.75	498.50																																																																																										
															121,360.25	121,858.50	498.25																																																																																										
															123,376.75	123,875.00	498.25																																																																																										
															125,376.75	125,875.00	498.25																																																																																										
															127,376.50	127,874.75	498.25																																																																																										
															129,376.25	129,874.75	498.50																																																																																										
															131,376.25	131,874.50	498.25																																																																																										
															133,376.00	133,874.50	498.50																																																																																										
															135,392.50	135,874.25	481.75																																																																																										
															137,375.75	137,874.25	498.50																																																																																										
															139,375.75	139,874.00	498.25																																																																																										
															141,375.50	141,874.00	498.50																																																																																										
															143,392.00	143,873.75	481.75																																																																																										
															145,375.25	145,873.75	498.50																																																																																										
															147,391.75	147,890.25	498.50																																																																																										
															149,408.25	149,890.00	481.75																																																																																										
															151,391.50	151,890.00	498.50																																																																																										
															153,408.00	153,906.50	498.50																																																																																										
															155,408.00	155,906.25	498.25																																																																																										
															157,407.75	157,906.25	498.50																																																																																										
															159,407.75	159,906.00	498.25																																																																																										
															161,407.50	161,906.00	498.50																																																																																										
															163,424.00	163,922.50	498.50																																																																																										
															165,440.50	165,922.50	482.00																																																																																										
															167,423.75	167,922.25	498.50																																																																																										
															169,423.75	169,922.00	498.25																																																																																										
															171,423.50	171,922.00	498.50																																																																																										
															173,423.50	173,921.75	498.25																																																																																										
															175,423.25	175,921.75	498.50																																																																																										
															177,439.75	177,921.50	481.75																																																																																										
															179,439.75	179,938.25	498.50																																																																																										
															181,456.25	181,954.75	498.50																																																																																										
															183,456.00	183,954.50	498.50																																																																																										
															185,456.00	185,954.50	498.50																																																																																										
															187,455.75	187,954.25	498.50																																																																																										
															189,455.75	189,954.25	498.50																																																																																										
															191,455.50	191,954.00	498.50																																																																																										
															193,472.00	193,970.50	498.50																																																																																										
															195,472.00	195,970.50	498.50																																																																																										
															197,471.75	197,970.25	498.50																																																																																										
															199,471.75	199,970.25	498.50																																																																																										
