Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															0.25	102.25	102.00																																																																																										
															2,335.25	3,335.50	1,000.25																																																																																										
															4,835.00	5,852.00	1,017.00																																																																																										
															7,368.25	8,368.50	1,000.25																																																																																										
															9,868.00	10,868.25	1,000.25																																																																																										
															12,384.50	13,384.75	1,000.25																																																																																										
															14,884.25	15,901.25	1,017.00																																																																																										
															17,400.75	18,417.75	1,017.00																																																																																										
															19,934.00	20,934.25	1,000.25																																																																																										
															22,450.50	23,450.75	1,000.25																																																																																										
															24,967.00	25,967.25	1,000.25																																																																																										
															27,483.50	28,483.75	1,000.25																																																																																										
															30,000.00	31,000.25	1,000.25																																																																																										
															32,499.75	33,516.50	1,016.75																																																																																										
															35,016.25	36,033.00	1,016.75																																																																																										
															37,549.50	38,549.50	1,000.00																																																																																										
															40,049.25	41,049.50	1,000.25																																																																																										
															42,565.75	43,566.00	1,000.25																																																																																										
															45,082.25	46,082.50	1,000.25																																																																																										
															47,598.75	48,599.00	1,000.25																																																																																										
															50,098.50	51,115.50	1,017.00																																																																																										
															52,615.00	53,631.75	1,016.75																																																																																										
															55,131.50	56,131.75	1,000.25																																																																																										
															57,648.00	58,648.25	1,000.25																																																																																										
															60,164.50	61,164.75	1,000.25																																																																																										
															62,681.00	63,681.25	1,000.25																																																																																										
															65,180.75	66,197.75	1,017.00																																																																																										
															67,714.00	68,714.25	1,000.25																																																																																										
															70,230.50	71,230.50	1,000.00																																																																																										
															72,747.00	73,747.00	1,000.00																																																																																										
															75,263.50	76,263.50	1,000.00																																																																																										
															77,780.00	78,780.00	1,000.00																																																																																										
															80,296.25	81,296.50	1,000.25																																																																																										
															82,796.25	83,813.00	1,016.75																																																																																										
															85,329.25	86,329.50	1,000.25																																																																																										
															87,845.75	88,846.00	1,000.25																																																																																										
															90,362.25	91,362.50	1,000.25																																																																																										
															92,878.75	93,879.00	1,000.25																																																																																										
															95,395.25	96,395.50	1,000.25																																																																																										
															97,895.25	98,912.00	1,016.75																																																																																										
															100,428.25	101,428.50	1,000.25																																																																																										
															102,944.75	103,945.00	1,000.25																																																																																										
															105,444.50	106,461.50	1,017.00																																																																																										
															107,961.00	108,961.25	1,000.25																																																																																										
															110,461.00	111,477.75	1,016.75																																																																																										
															112,994.00	113,994.25	1,000.25																																																																																										
															115,510.50	116,510.75	1,000.25																																																																																										
															118,010.25	119,027.25	1,017.00																																																																																										
															120,543.50	121,543.75	1,000.25																																																																																										
															123,043.25	124,060.25	1,017.00																																																																																										
															125,576.50	126,576.75	1,000.25																																																																																										
															128,076.25	129,093.25	1,017.00																																																																																										
															130,609.50	131,609.75	1,000.25																																																																																										
															133,109.25	134,126.25	1,017.00																																																																																										
															135,625.75	136,626.00	1,000.25																																																																																										
															138,142.25	139,142.50	1,000.25																																																																																										
															140,658.75	141,659.00	1,000.25																																																																																										
															143,175.25	144,175.50	1,000.25																																																																																										
															145,675.00	146,692.00	1,017.00																																																																																										
															148,191.50	149,191.75	1,000.25																																																																																										
															150,708.00	151,708.25	1,000.25																																																																																										
															153,208.00	154,224.75	1,016.75																																																																																										
															155,724.25	156,741.25	1,017.00																																																																																										
															158,240.75	159,257.75	1,017.00																																																																																										
															160,757.25	161,774.25	1,017.00																																																																																										
															163,273.75	164,274.00	1,000.25																																																																																										
															165,773.75	166,790.50	1,016.75																																																																																										
															168,290.25	169,307.00	1,016.75																																																																																										
															170,806.75	171,823.50	1,016.75																																																																																										
															173,323.00	174,340.00	1,017.00																																																																																										
															175,856.25	176,856.50	1,000.25																																																																																										
															178,372.75	179,373.00	1,000.25																																																																																										
															180,889.25	181,889.50	1,000.25																																																																																										
															183,389.00	184,406.00	1,017.00																																																																																										
															185,905.50	186,922.50	1,017.00																																																																																										
															188,438.75	189,439.00	1,000.25																																																																																										
															190,955.25	191,955.50	1,000.25																																																																																										
															193,455.00	194,472.00	1,017.00																																																																																										
															195,971.50	196,971.75	1,000.25																																																																																										
															198,488.00	199,488.25	1,000.25																																																																																										
															200,987.75	202,004.75	1,017.00																																																																																										
															203,504.25	204,521.25	1,017.00																																																																																										
															206,020.75	207,037.75	1,017.00																																																																																										
															208,554.00	209,554.25	1,000.25																																																																																										
															211,053.75	212,070.75	1,017.00																																																																																										
															213,570.25	214,570.50	1,000.25																																																																																										
															216,086.75	217,087.00	1,000.25																																																																																										
															218,603.25	219,603.50	1,000.25																																																																																										
															221,103.00	222,120.00	1,017.00																																																																																										
															223,619.50	224,636.50	1,017.00																																																																																										
															226,136.00	227,136.25	1,000.25																																																																																										
															228,652.50	229,652.75	1,000.25																																																																																										
															231,169.00	232,169.25	1,000.25																																																																																										
															233,668.75	234,685.75	1,017.00																																																																																										
															236,202.00	237,202.25	1,000.25																																																																																										
															238,701.75	239,702.00	1,000.25																																																																																										
															241,201.75	242,201.75	1,000.00																																																																																										
															243,701.50	244,718.25	1,016.75																																																																																										
															246,234.75	247,234.75	1,000.00																																																																																										
															248,734.50	249,751.25	1,016.75																																																																																										
															251,251.00	252,267.75	1,016.75																																																																																										
