Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															0.25	293.75	293.50																																																																																										
															2,893.00	2,943.50	50.50																																																																																										
															4,459.50	4,493.50	34.00																																																																																										
															6,009.50	6,043.25	33.75																																																																																										
															7,542.75	7,593.25	50.50																																																																																										
															9,109.25	9,143.00	33.75																																																																																										
															10,642.50	10,693.00	50.50																																																																																										
															12,209.00	12,242.75	33.75																																																																																										
															13,742.25	13,792.75	50.50																																																																																										
															15,292.25	15,326.00	33.75																																																																																										
															16,842.00	16,875.75	33.75																																																																																										
															18,392.00	18,425.75	33.75																																																																																										
															19,941.75	19,975.75	34.00																																																																																										
															21,475.00	21,508.75	33.75																																																																																										
															23,025.00	23,058.75	33.75																																																																																										
															24,558.25	24,608.75	50.50																																																																																										
															26,108.00	26,141.75	33.75																																																																																										
															27,658.00	27,691.75	33.75																																																																																										
															29,207.75	29,241.75	34.00																																																																																										
															30,741.00	30,791.50	50.50																																																																																										
															32,307.50	32,341.50	34.00																																																																																										
															33,857.50	33,891.25	33.75																																																																																										
															35,390.75	35,441.25	50.50																																																																																										
															36,940.75	36,991.25	50.50																																																																																										
															38,507.25	38,541.00	33.75																																																																																										
															40,040.50	40,091.00	50.50																																																																																										
															41,607.00	41,640.75	33.75																																																																																										
															43,156.75	43,190.75	34.00																																																																																										
															44,690.00	44,724.00	34.00																																																																																										
															46,240.00	46,273.75	33.75																																																																																										
															47,773.25	47,823.75	50.50																																																																																										
															49,339.75	49,373.50	33.75																																																																																										
															50,889.75	50,923.50	33.75																																																																																										
															52,439.50	52,473.25	33.75																																																																																										
															53,972.75	54,023.25	50.50																																																																																										
															55,539.25	55,573.00	33.75																																																																																										
															57,089.25	57,123.00	33.75																																																																																										
															58,639.00	58,673.00	34.00																																																																																										
															60,189.00	60,222.75	33.75																																																																																										
															61,722.25	61,772.75	50.50																																																																																										
															63,272.00	63,306.00	34.00																																																																																										
															64,805.25	64,855.75	50.50																																																																																										
															66,355.25	66,405.75	50.50																																																																																										
															67,905.00	67,955.50	50.50																																																																																										
															69,471.75	69,505.50	33.75																																																																																										
															71,004.75	71,038.75	34.00																																																																																										
															72,554.75	72,588.50	33.75																																																																																										
															74,104.75	74,138.50	33.75																																																																																										
															75,654.50	75,688.25	33.75																																																																																										
															77,187.75	77,238.25	50.50																																																																																										
															78,737.75	78,788.25	50.50																																																																																										
															80,287.50	80,321.25	33.75																																																																																										
