Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															17,674.00	17,924.25	250.25																																																																																										
															19,423.75	19,674.00	250.25																																																																																										
															21,190.25	21,424.00	233.75																																																																																										
															22,923.50	23,173.75	250.25																																																																																										
															24,690.25	24,923.75	233.50																																																																																										
															26,440.00	26,673.50	233.50																																																																																										
															28,190.00	28,440.00	250.00																																																																																										
															29,956.50	30,206.50	250.00																																																																																										
															31,723.00	31,956.50	233.50																																																																																										
															33,456.25	33,706.25	250.00																																																																																										
															35,206.00	35,456.25	250.25																																																																																										
															36,972.50	37,222.75	250.25																																																																																										
															38,739.25	38,972.75	233.50																																																																																										
															40,489.00	40,722.50	233.50																																																																																										
															42,239.00	42,489.00	250.00																																																																																										
															43,988.75	44,239.00	250.25																																																																																										
															45,738.75	45,988.75	250.00																																																																																										
															47,488.50	47,738.75	250.25																																																																																										
															49,238.50	49,488.50	250.00																																																																																										
															50,988.25	51,238.50	250.25																																																																																										
															52,738.25	52,988.25	250.00																																																																																										
															54,488.00	54,738.25	250.25																																																																																										
															56,254.50	56,488.00	233.50																																																																																										
															57,987.75	58,238.00	250.25																																																																																										
															59,754.25	59,987.75	233.50																																																																																										
															61,504.25	61,737.75	233.50																																																																																										
															63,254.00	63,504.25	250.25																																																																																										
															65,020.50	65,254.25	233.75																																																																																										
															66,753.75	67,004.00	250.25																																																																																										
															68,503.75	68,754.00	250.25																																																																																										
															70,270.25	70,503.75	233.50																																																																																										
															72,020.00	72,253.75	233.75																																																																																										
															73,753.25	74,003.50	250.25																																																																																										
															75,519.75	75,753.50	233.75																																																																																										
															77,253.00	77,503.25	250.25																																																																																										
															79,019.50	79,253.25	233.75																																																																																										
															80,752.75	81,003.00	250.25																																																																																										
															82,519.25	82,769.50	250.25																																																																																										
															84,286.00	84,536.00	250.00																																																																																										
															86,035.75	86,286.00	250.25																																																																																										
															87,802.25	88,052.50	250.25																																																																																										
															89,552.25	89,802.50	250.25																																																																																										
															91,318.75	91,552.25	233.50																																																																																										
															93,052.00	93,302.25	250.25																																																																																										
															94,818.50	95,052.00	233.50																																																																																										
															96,568.50	96,802.00	233.50																																																																																										
															98,318.25	98,551.75	233.50																																																																																										
															100,068.25	100,301.75	233.50																																																																																										
															101,818.00	102,051.50	233.50																																																																																										
															103,551.25	103,801.50	250.25																																																																																										
															105,301.00	105,551.25	250.25																																																																																										
															107,067.75	107,317.75	250.00																																																																																										
															108,817.50	109,067.75	250.25																																																																																										
															110,567.50	110,817.50	250.00																																																																																										
															112,334.00	112,584.00	250.00																																																																																										
															114,100.50	114,334.00	233.50																																																																																										
															115,850.25	116,084.00	233.75																																																																																										
															117,583.50	117,833.75	250.25																																																																																										
															119,333.50	119,583.75	250.25																																																																																										
															121,100.00	121,333.50	233.50																																																																																										
															122,849.75	123,100.00	250.25																																																																																										
															124,599.75	124,850.00	250.25																																																																																										
															126,366.25	126,599.75	233.50																																																																																										
															128,099.50	128,349.75	250.25																																																																																										
															129,866.00	130,099.50	233.50																																																																																										
															131,599.25	131,849.50	250.25																																																																																										
															133,365.75	133,616.00	250.25																																																																																										
															135,115.75	135,365.75	250.00																																																																																										
															136,882.25	137,132.50	250.25																																																																																										
															138,648.75	138,882.25	233.50																																																																																										
															140,382.00	140,632.25	250.25																																																																																										
															142,131.75	142,382.00	250.25																																																																																										
															143,881.75	144,132.00	250.25																																																																																										
															145,631.50	145,881.75	250.25																																																																																										
															147,381.50	147,631.75	250.25																																																																																										
															149,131.25	149,381.50	250.25																																																																																										
															150,881.25	151,131.50	250.25																																																																																										
															152,647.75	152,898.00	250.25																																																																																										
															154,414.25	154,664.50	250.25																																																																																										
															156,164.25	156,414.25	250.00																																																																																										
															157,914.00	158,164.25	250.25																																																																																										
															159,680.50	159,914.00	233.50																																																																																										
															161,413.75	161,664.00	250.25																																																																																										
															163,180.25	163,430.50	250.25																																																																																										
															164,947.00	165,180.50	233.50																																																																																										
															166,680.00	166,930.25	250.25																																																																																										
															168,430.00	168,680.25	250.25																																																																																										
															170,179.75	170,430.00	250.25																																																																																										
															171,929.75	172,180.00	250.25																																																																																										
															173,679.50	173,929.75	250.25																																																																																										
															175,429.50	175,679.75	250.25																																																																																										
															177,179.25	177,429.50	250.25																																																																																										
															178,929.25	179,179.50	250.25																																																																																										
															180,679.00	180,929.25	250.25																																																																																										
															182,429.00	182,679.25	250.25																																																																																										
															184,195.50	184,429.00	233.50																																																																																										
															185,928.75	186,179.00	250.25																																																																																										
															187,678.50	187,928.75	250.25																																																																																										
															189,428.50	189,678.75	250.25																																																																																										
															191,178.25	191,428.50	250.25																																																																																										
