Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															0.25	362.50	362.25																																																																																										
															2,745.50	2,895.50	150.00																																																																																										
															4,395.25	4,528.75	133.50																																																																																										
															6,061.75	6,195.50	133.75																																																																																										
															7,695.00	7,845.25	150.25																																																																																										
															9,345.00	9,495.25	150.25																																																																																										
															10,994.75	11,145.00	150.25																																																																																										
															12,644.75	12,795.00	150.25																																																																																										
															14,294.50	14,444.75	150.25																																																																																										
															15,944.50	16,078.00	133.50																																																																																										
															17,594.25	17,744.50	150.25																																																																																										
															19,244.25	19,377.75	133.50																																																																																										
															20,894.00	21,044.25	150.25																																																																																										
															22,544.00	22,694.25	150.25																																																																																										
															24,194.00	24,344.00	150.00																																																																																										
															25,860.50	25,994.00	133.50																																																																																										
															27,510.25	27,644.00	133.75																																																																																										
															29,160.25	29,310.50	150.25																																																																																										
															30,810.00	30,943.75	133.75																																																																																										
															32,460.00	32,610.25	150.25																																																																																										
															34,109.75	34,260.00	150.25																																																																																										
															35,759.75	35,910.00	150.25																																																																																										
															37,409.50	37,543.25	133.75																																																																																										
															39,059.50	39,209.75	150.25																																																																																										
															40,709.50	40,859.50	150.00																																																																																										
															42,359.25	42,492.75	133.50																																																																																										
															44,009.25	44,159.50	150.25																																																																																										
															45,659.00	45,809.25	150.25																																																																																										
															47,309.00	47,459.25	150.25																																																																																										
															48,975.50	49,109.00	133.50																																																																																										
															50,625.25	50,759.00	133.75																																																																																										
															52,258.50	52,408.75	150.25																																																																																										
															53,908.50	54,042.00	133.50																																																																																										
															55,558.25	55,708.50	150.25																																																																																										
															57,208.25	57,358.50	150.25																																																																																										
															58,858.00	59,008.25	150.25																																																																																										
															60,524.75	60,675.00	150.25																																																																																										
															62,174.50	62,324.75	150.25																																																																																										
															63,841.00	63,974.75	133.75																																																																																										
															65,491.00	65,624.50	133.50																																																																																										
															67,140.75	67,291.00	150.25																																																																																										
															68,790.75	68,924.25	133.50																																																																																										
															70,440.75	70,574.25	133.50																																																																																										
															72,090.50	72,224.00	133.50																																																																																										
															73,723.75	73,874.00	150.25																																																																																										
															75,373.50	75,523.75	150.25																																																																																										
															77,040.25	77,190.25	150.00																																																																																										
															78,690.00	78,840.25	150.25																																																																																										
															80,340.00	80,473.50	133.50																																																																																										
															82,006.50	82,123.25	116.75																																																																																										
															83,639.75	83,773.25	133.50																																																																																										
															85,289.50	85,439.75	150.25																																																																																										
															86,939.50	87,089.75	150.25																																																																																										
															88,589.25	88,723.00	133.75																																																																																										
															90,239.25	90,372.75	133.50																																																																																										
															91,889.00	92,039.25	150.25																																																																																										
															93,539.00	93,672.50	133.50																																																																																										
															95,189.00	95,339.00	150.00																																																																																										
															96,838.75	96,989.00	150.25																																																																																										
															98,488.75	98,638.75	150.00																																																																																										
															100,138.50	100,288.75	150.25																																																																																										
															101,788.50	101,922.00	133.50																																																																																										
															103,421.75	103,571.75	150.00																																																																																										
															105,071.50	105,205.00	133.50																																																																																										
															106,721.50	106,855.00	133.50																																																																																										
															108,371.25	108,504.75	133.50																																																																																										
															110,021.25	110,171.50	150.25																																																																																										
															111,671.00	111,804.50	133.50																																																																																										
															113,321.00	113,471.25	150.25																																																																																										
