Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															0.25	54.50	54.25																																																																																										
															2,137.50	2,637.75	500.25																																																																																										
															4,154.00	4,670.75	516.75																																																																																										
															6,170.50	6,687.25	516.75																																																																																										
															8,187.00	8,687.25	500.25																																																																																										
															10,203.50	10,703.75	500.25																																																																																										
															12,220.00	12,720.25	500.25																																																																																										
															14,236.50	14,736.75	500.25																																																																																										
															16,253.00	16,753.25	500.25																																																																																										
															18,253.00	18,769.75	516.75																																																																																										
															20,286.25	20,803.00	516.75																																																																																										
															22,302.75	22,819.50	516.75																																																																																										
															24,319.25	24,836.00	516.75																																																																																										
															26,335.75	26,852.50	516.75																																																																																										
															28,369.00	28,852.50	483.50																																																																																										
															30,368.75	30,869.00	500.25																																																																																										
															32,368.75	32,868.75	500.00																																																																																										
															34,385.25	34,885.50	500.25																																																																																										
															36,401.75	36,902.00	500.25																																																																																										
															38,418.25	38,918.50	500.25																																																																																										
															40,418.00	40,935.00	517.00																																																																																										
															42,451.25	42,951.50	500.25																																																																																										
															44,467.75	44,968.00	500.25																																																																																										
															46,467.75	46,984.50	516.75																																																																																										
															48,500.75	48,984.50	483.75																																																																																										
															50,500.75	51,001.00	500.25																																																																																										
															52,517.25	53,017.50	500.25																																																																																										
															54,533.75	55,034.00	500.25																																																																																										
															56,550.25	57,050.50	500.25																																																																																										
															58,566.75	59,067.00	500.25																																																																																										
															60,583.25	61,083.50	500.25																																																																																										
															62,600.00	63,116.75	516.75																																																																																										
															64,633.00	65,133.25	500.25																																																																																										
															66,649.50	67,149.75	500.25																																																																																										
															68,666.00	69,166.25	500.25																																																																																										
															70,682.75	71,182.75	500.00																																																																																										
															72,699.25	73,199.50	500.25																																																																																										
															74,699.00	75,199.25	500.25																																																																																										
															76,715.50	77,215.75	500.25																																																																																										
															78,732.00	79,232.25	500.25																																																																																										
															80,748.75	81,248.75	500.00																																																																																										
															82,765.25	83,265.25	500.00																																																																																										
															84,781.75	85,281.75	500.00																																																																																										
															86,781.50	87,298.50	517.00																																																																																										
															88,814.75	89,315.00	500.25																																																																																										
															90,814.50	91,314.75	500.25																																																																																										
															92,831.00	93,348.00	517.00																																																																																										
															94,864.25	95,364.50	500.25																																																																																										
															96,864.25	97,381.00	516.75																																																																																										
															98,897.25	99,397.50	500.25																																																																																										
															100,897.25	101,414.00	516.75																																																																																										
															102,913.75	103,430.50	516.75																																																																																										
