Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															0.25	207.75	207.50																																																																																										
															2,507.00	2,540.75	33.75																																																																																										
															4,040.25	4,074.00	33.75																																																																																										
															5,573.50	5,607.25	33.75																																																																																										
															7,106.50	7,140.50	34.00																																																																																										
															8,639.75	8,673.75	34.00																																																																																										
															10,173.00	10,207.00	34.00																																																																																										
															11,706.25	11,723.00	16.75																																																																																										
															13,222.75	13,239.75	17.00																																																																																										
															14,739.25	14,756.25	17.00																																																																																										
															16,256.00	16,289.75	33.75																																																																																										
															17,789.25	17,806.00	16.75																																																																																										
															19,322.25	19,339.25	17.00																																																																																										
															20,839.00	20,855.75	16.75																																																																																										
															22,355.50	22,389.50	34.00																																																																																										
															23,888.75	23,905.50	16.75																																																																																										
															25,405.25	25,439.25	34.00																																																																																										
															26,938.50	26,955.25	16.75																																																																																										
															28,471.75	28,488.50	16.75																																																																																										
															29,988.25	30,005.00	16.75																																																																																										
															31,521.50	31,538.25	16.75																																																																																										
															33,038.00	33,054.75	16.75																																																																																										
															34,571.25	34,588.00	16.75																																																																																										
															36,087.75	36,104.50	16.75																																																																																										
															37,621.00	37,637.75	16.75																																																																																										
															39,137.50	39,154.50	17.00																																																																																										
															40,654.25	40,671.00	16.75																																																																																										
															42,170.75	42,187.50	16.75																																																																																										
															43,704.00	43,720.75	16.75																																																																																										
															45,220.50	45,237.25	16.75																																																																																										
															46,737.00	46,753.75	16.75																																																																																										
															48,253.50	48,270.50	17.00																																																																																										
															49,770.25	49,787.00	16.75																																																																																										
															51,286.75	51,303.50	16.75																																																																																										
															52,803.25	52,837.25	34.00																																																																																										
															54,336.50	54,353.25	16.75																																																																																										
															55,853.00	55,869.75	16.75																																																																																										
															57,369.50	57,386.50	17.00																																																																																										
															58,902.75	58,919.50	16.75																																																																																										
															60,419.25	60,436.25	17.00																																																																																										
															61,936.00	61,969.75	33.75																																																																																										
															63,469.25	63,486.00	16.75																																																																																										
															64,985.75	65,002.50	16.75																																																																																										
															66,502.25	66,519.00	16.75																																																																																										
															68,035.50	68,052.25	16.75																																																																																										
															69,552.00	69,568.75	16.75																																																																																										
															71,085.25	71,102.00	16.75																																																																																										
															72,601.75	72,618.50	16.75																																																																																										
															74,135.00	74,151.75	16.75																																																																																										
															75,651.50	75,668.50	17.00																																																																																										
															77,168.25	77,202.00	33.75																																																																																										
															78,701.25	78,718.25	17.00																																																																																										
