Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															0.25	136.50	136.25																																																																																										
															2,602.75	3,103.00	500.25																																																																																										
															4,619.50	5,119.75	500.25																																																																																										
															6,619.25	7,119.50	500.25																																																																																										
															8,619.00	9,136.00	517.00																																																																																										
															10,635.50	11,152.50	517.00																																																																																										
															12,668.75	13,169.00	500.25																																																																																										
															14,685.25	15,185.50	500.25																																																																																										
															16,701.75	17,202.00	500.25																																																																																										
															18,701.75	19,202.00	500.25																																																																																										
															20,701.50	21,218.50	517.00																																																																																										
															22,718.00	23,235.00	517.00																																																																																										
															24,751.25	25,251.50	500.25																																																																																										
															26,751.25	27,268.00	516.75																																																																																										
															28,767.75	29,284.50	516.75																																																																																										
															30,784.25	31,301.00	516.75																																																																																										
															32,800.75	33,317.75	517.00																																																																																										
															34,817.25	35,334.25	517.00																																																																																										
															36,833.75	37,334.00	500.25																																																																																										
															38,850.25	39,350.50	500.25																																																																																										
															40,850.25	41,367.00	516.75																																																																																										
															42,866.75	43,383.50	516.75																																																																																										
															44,883.25	45,383.50	500.25																																																																																										
															46,883.00	47,400.00	517.00																																																																																										
															48,899.50	49,399.75	500.25																																																																																										
															50,916.00	51,416.25	500.25																																																																																										
															52,916.00	53,433.00	517.00																																																																																										
															54,949.25	55,449.50	500.25																																																																																										
															56,949.00	57,466.00	517.00																																																																																										
															58,982.25	59,482.50	500.25																																																																																										
															60,982.00	61,499.00	517.00																																																																																										
															62,998.50	63,515.50	517.00																																																																																										
															65,015.00	65,515.25	500.25																																																																																										
															67,031.75	67,532.00	500.25																																																																																										
															69,048.25	69,548.50	500.25																																																																																										
															71,064.75	71,565.00	500.25																																																																																										
															73,081.25	73,581.50	500.25																																																																																										
															75,081.00	75,581.25	500.25																																																																																										
															77,097.50	77,597.75	500.25																																																																																										
															79,114.00	79,614.50	500.50																																																																																										
															81,114.00	81,614.25	500.25																																																																																										
															83,130.50	83,630.75	500.25																																																																																										
															85,147.00	85,647.25	500.25																																																																																										
															87,147.00	87,663.75	516.75																																																																																										
															89,180.00	89,680.25	500.25																																																																																										
															91,196.50	91,696.75	500.25																																																																																										
															93,196.50	93,713.50	517.00																																																																																										
															95,213.00	95,730.00	517.00																																																																																										
															97,246.25	97,746.50	500.25																																																																																										
															99,262.75	99,763.00	500.25																																																																																										
															101,279.25	101,779.50	500.25																																																																																										
															103,295.75	103,796.00	500.25																																																																																										
															105,312.25	105,812.50	500.25																																																																																										
															107,312.25	107,812.50	500.25																																																																																										
															109,312.00	109,829.00	517.00																																																																																										
															111,328.50	111,845.50	517.00																																																																																										
															113,345.00	113,862.00	517.00																																																																																										
															115,361.50	115,861.75	500.25																																																																																										
															117,378.00	117,878.25	500.25																																																																																										
															119,394.50	119,894.75	500.25																																																																																										
															121,411.25	121,911.50	500.25																																																																																										
															123,411.00	123,928.00	517.00																																																																																										
															125,444.25	125,944.50	500.25																																																																																										
															127,444.00	127,944.25	500.25																																																																																										
															129,460.50	129,960.75	500.25																																																																																										
															131,460.50	131,977.25	516.75																																																																																										
															133,493.50	133,993.75	500.25																																																																																										
															135,493.50	135,993.75	500.25																																																																																										
															137,510.00	138,010.25	500.25																																																																																										
															139,526.50	140,026.75	500.25																																																																																										
															141,526.50	142,043.25	516.75																																																																																										
															143,543.00	144,043.25	500.25																																																																																										
															145,542.75	146,043.00	500.25																																																																																										
															147,542.50	148,059.50	517.00																																																																																										
															149,559.25	150,076.00	516.75																																																																																										
															151,592.25	152,092.50	500.25																																																																																										
															153,592.25	154,109.00	516.75																																																																																										
															155,608.75	156,125.75	517.00																																																																																										
															157,625.25	158,142.25	517.00																																																																																										
															159,641.75	160,158.75	517.00																																																																																										
															161,675.00	162,175.25	500.25																																																																																										
															163,674.75	164,175.00	500.25																																																																																										
															165,674.75	166,191.50	516.75																																																																																										
															167,707.75	168,208.00	500.25																																																																																										
															169,707.75	170,208.00	500.25																																																																																										
															171,707.50	172,224.50	517.00																																																																																										
															173,724.00	174,241.00	517.00																																																																																										
															175,757.25	176,257.50	500.25																																																																																										
															177,757.25	178,274.00	516.75																																																																																										
