Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															0.25	14.75	14.50																																																																																										
															18,096.50	19,096.75	1,000.25																																																																																										
															20,613.00	21,596.50	983.50																																																																																										
															23,096.25	24,096.50	1,000.25																																																																																										
															25,596.00	26,596.25	1,000.25																																																																																										
															28,112.50	29,096.00	983.50																																																																																										
															30,612.50	31,595.75	983.25																																																																																										
															33,095.50	34,095.75	1,000.25																																																																																										
															35,595.25	36,595.50	1,000.25																																																																																										
															38,095.25	39,095.25	1,000.00																																																																																										
															40,611.75	41,611.75	1,000.00																																																																																										
															43,128.25	44,111.75	983.50																																																																																										
															45,628.00	46,611.50	983.50																																																																																										
															48,111.25	49,111.25	1,000.00																																																																																										
															50,611.00	51,611.00	1,000.00																																																																																										
															53,127.50	54,111.00	983.50																																																																																										
															55,627.25	56,610.75	983.50																																																																																										
															58,127.00	59,110.50	983.50																																																																																										
															60,610.25	61,610.50	1,000.25																																																																																										
															63,110.00	64,110.25	1,000.25																																																																																										
															65,610.00	66,610.00	1,000.00																																																																																										
															68,126.50	69,126.50	1,000.00																																																																																										
															70,643.00	71,643.00	1,000.00																																																																																										
															73,142.75	74,142.75	1,000.00																																																																																										
															75,642.50	76,642.75	1,000.25																																																																																										
															78,142.25	79,142.50	1,000.25																																																																																										
															80,642.25	81,642.25	1,000.00																																																																																										
															83,142.00	84,142.25	1,000.25																																																																																										
															85,641.75	86,642.00	1,000.25																																																																																										
															88,141.75	89,141.75	1,000.00																																																																																										
															90,658.25	91,641.50	983.25																																																																																										
															93,158.00	94,141.50	983.50																																																																																										
															95,641.00	96,641.25	1,000.25																																																																																										
															98,157.50	99,157.75	1,000.25																																																																																										
															100,674.00	101,657.50	983.50																																																																																										
															103,174.00	104,157.50	983.50																																																																																										
															105,673.75	106,657.25	983.50																																																																																										
															108,157.00	109,157.00	1,000.00																																																																																										
															110,673.50	111,656.75	983.25																																																																																										
															113,156.50	114,156.75	1,000.25																																																																																										
															115,656.25	116,656.50	1,000.25																																																																																										
															118,172.75	119,156.25	983.50																																																																																										
															120,672.75	121,672.75	1,000.00																																																																																										
															123,172.50	124,172.75	1,000.25																																																																																										
															125,672.25	126,672.50	1,000.25																																																																																										
															128,188.75	129,189.00	1,000.25																																																																																										
															130,688.75	131,688.75	1,000.00																																																																																										
															133,205.25	134,188.50	983.25																																																																																										
															135,705.00	136,688.50	983.50																																																																																										
															138,188.00	139,188.25	1,000.25																																																																																										
															140,704.50	141,688.00	983.50																																																																																										
															143,204.50	144,188.00	983.50																																																																																										
															145,687.50	146,687.75	1,000.25																																																																																										
															148,204.00	149,187.50	983.50																																																																																										
															150,687.25	151,687.50	1,000.25																																																																																										
															153,187.00	154,187.25	1,000.25																																																																																										
															155,686.75	156,687.00	1,000.25																																																																																										
															158,186.75	159,186.75	1,000.00																																																																																										
															160,703.25	161,703.25	1,000.00																																																																																										
															163,219.75	164,219.75	1,000.00																																																																																										
															165,736.25	166,719.75	983.50																																																																																										
															168,219.25	169,219.50	1,000.25																																																																																										
															170,719.25	171,719.25	1,000.00																																																																																										
															173,219.00	174,219.00	1,000.00																																																																																										
															175,735.50	176,735.50	1,000.00																																																																																										
															178,235.25	179,235.50	1,000.25																																																																																										
															180,751.75	181,752.00	1,000.25																																																																																										
															183,268.25	184,251.75	983.50																																																																																										
															185,768.00	186,751.50	983.50																																																																																										
															188,268.00	189,251.50	983.50																																																																																										
															190,767.75	191,768.00	1,000.25																																																																																										
															193,267.50	194,267.75	1,000.25																																																																																										
															195,784.00	196,784.25	1,000.25																																																																																										
															198,283.75	199,284.00	1,000.25																																																																																										
															200,783.75	201,783.75	1,000.00																																																																																										
															203,283.50	204,283.75	1,000.25																																																																																										
															205,783.25	206,783.50	1,000.25																																																																																										
															208,283.25	209,283.25	1,000.00																																																																																										
															210,799.75	211,799.75	1,000.00																																																																																										
															213,299.50	214,299.50	1,000.00																																																																																										
															215,816.00	216,799.50	983.50																																																																																										
															218,315.75	219,299.25	983.50																																																																																										
