Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															0.25	55.75	55.50																																																																																										
															18,104.50	18,138.00	33.50																																																																																										
															19,637.50	19,671.25	33.75																																																																																										
															21,187.50	21,204.25	16.75																																																																																										
															22,704.00	22,737.50	33.50																																																																																										
															24,237.25	24,270.75	33.50																																																																																										
															25,787.25	25,820.75	33.50																																																																																										
															27,320.50	27,354.00	33.50																																																																																										
															28,853.50	28,887.25	33.75																																																																																										
															30,403.50	30,420.25	16.75																																																																																										
															31,920.00	31,953.50	33.50																																																																																										
															33,453.25	33,486.75	33.50																																																																																										
															35,003.25	35,036.75	33.50																																																																																										
															36,553.00	36,586.50	33.50																																																																																										
															38,086.25	38,119.75	33.50																																																																																										
															39,636.25	39,652.75	16.50																																																																																										
															41,152.75	41,186.25	33.50																																																																																										
															42,686.00	42,719.50	33.50																																																																																										
															44,235.75	44,269.50	33.75																																																																																										
															45,769.00	45,802.75	33.75																																																																																										
															47,319.00	47,335.50	16.50																																																																																										
															48,835.50	48,869.00	33.50																																																																																										
															50,368.75	50,402.25	33.50																																																																																										
															51,918.75	51,935.25	16.50																																																																																										
															53,451.75	53,468.50	16.75																																																																																										
															54,985.00	55,018.75	33.75																																																																																										
															56,535.00	56,551.50	16.50																																																																																										
															58,051.50	58,085.00	33.50																																																																																										
															59,584.75	59,618.25	33.50																																																																																										
															61,118.00	61,151.50	33.50																																																																																										
															62,651.25	62,684.75	33.50																																																																																										
															64,201.00	64,217.75	16.75																																																																																										
															65,717.75	65,751.25	33.50																																																																																										
															67,267.50	67,301.00	33.50																																																																																										
															68,817.50	68,834.00	16.50																																																																																										
															70,334.00	70,367.50	33.50																																																																																										
															71,867.25	71,900.75	33.50																																																																																										
															73,400.50	73,434.00	33.50																																																																																										
															74,933.75	74,967.25	33.50																																																																																										
															76,467.00	76,500.50	33.50																																																																																										
															78,016.75	78,050.25	33.50																																																																																										
															79,550.00	79,583.50	33.50																																																																																										
															81,083.25	81,116.75	33.50																																																																																										
															82,633.25	82,666.75	33.50																																																																																										
															84,183.00	84,216.50	33.50																																																																																										
															85,716.25	85,749.75	33.50																																																																																										
															87,266.25	87,282.75	16.50																																																																																										
															88,799.50	88,816.00	16.50																																																																																										
															90,316.00	90,349.50	33.50																																																																																										
															91,849.25	91,882.75	33.50																																																																																										
															93,382.50	93,416.00	33.50																																																																																										
															94,932.25	94,965.75	33.50																																																																																										
															96,465.50	96,499.00	33.50																																																																																										
															97,998.75	98,032.25	33.50																																																																																										
															99,548.75	99,565.25	16.50																																																																																										
															101,081.75	101,098.50	16.75																																																																																										
															102,598.50	102,632.00	33.50																																																																																										
															104,131.75	104,165.25	33.50																																																																																										
															105,664.75	105,698.50	33.75																																																																																										
															107,214.75	107,231.50	16.75																																																																																										
															108,748.00	108,781.50	33.50																																																																																										
															110,297.75	110,331.50	33.75																																																																																										
															111,831.00	111,864.75	33.75																																																																																										
															113,381.00	113,397.50	16.50																																																																																										
															114,897.50	114,931.00	33.50																																																																																										
															116,430.75	116,464.25	33.50																																																																																										
															117,964.00	117,997.50	33.50																																																																																										
															119,514.00	119,547.50	33.50																																																																																										
															121,063.75	121,097.25	33.50																																																																																										
															122,613.75	122,647.25	33.50																																																																																										
															124,147.00	124,180.50	33.50																																																																																										
															125,696.75	125,713.50	16.75																																																																																										
															127,213.25	127,247.00	33.75																																																																																										
															128,746.50	128,780.00	33.50																																																																																										
															130,296.50	130,330.00	33.50																																																																																										
															131,846.25	131,863.00	16.75																																																																																										
															133,379.50	133,396.25	16.75																																																																																										
															134,896.25	134,929.75	33.50																																																																																										
															136,446.00	136,462.75	16.75																																																																																										
															137,962.50	137,996.25	33.75																																																																																										
															139,495.75	139,529.25	33.50																																																																																										
															141,045.75	141,079.25	33.50																																																																																										
															142,595.50	142,612.25	16.75																																																																																										
															144,112.25	144,145.75	33.50																																																																																										
															145,662.00	145,678.75	16.75																																																																																										
															147,195.25	147,212.00	16.75																																																																																										
															148,728.50	148,745.00	16.50																																																																																										
															150,245.00	150,278.50	33.50																																																																																										
															151,795.00	151,811.50	16.50																																																																																										
															153,328.25	153,361.75	33.50																																																																																										
															154,878.00	154,894.75	16.75																																																																																										
															156,411.25	156,444.75	33.50																																																																																										
															157,961.25	157,994.75	33.50																																																																																										
															159,494.50	159,528.00	33.50																																																																																										
															161,044.25	161,061.00	16.75																																																																																										
															162,560.75	162,594.50	33.75																																																																																										
															164,110.75	164,144.25	33.50																																																																																										
															165,660.75	165,694.25	33.50																																																																																										
															167,210.50	167,244.00	33.50																																																																																										
															168,760.50	168,777.00	16.50																																																																																										
															170,277.00	170,310.50	33.50																																																																																										
