Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															17,865.25	18,865.75	1,000.50																																																																																										
															20,381.75	21,365.50	983.75																																																																																										
															22,865.00	23,865.25	1,000.25																																																																																										
															25,381.50	26,365.25	983.75																																																																																										
															27,881.25	28,881.75	1,000.50																																																																																										
															30,397.75	31,381.50	983.75																																																																																										
															32,897.50	33,881.25	983.75																																																																																										
															35,380.75	36,381.25	1,000.50																																																																																										
															37,880.50	38,881.00	1,000.50																																																																																										
															40,380.50	41,380.75	1,000.25																																																																																										
															42,897.00	43,880.75	983.75																																																																																										
															45,380.00	46,380.50	1,000.50																																																																																										
															47,880.00	48,880.25	1,000.25																																																																																										
															50,379.75	51,380.00	1,000.25																																																																																										
															52,879.50	53,880.00	1,000.50																																																																																										
															55,396.00	56,379.75	983.75																																																																																										
															57,879.25	58,879.50	1,000.25																																																																																										
															60,379.00	61,379.50	1,000.50																																																																																										
															62,895.50	63,896.00	1,000.50																																																																																										
															65,412.00	66,395.75	983.75																																																																																										
															67,911.75	68,895.50	983.75																																																																																										
															70,411.75	71,395.50	983.75																																																																																										
															72,894.75	73,895.25	1,000.50																																																																																										
															75,394.75	76,395.00	1,000.25																																																																																										
															77,894.50	78,894.75	1,000.25																																																																																										
															80,411.00	81,394.75	983.75																																																																																										
															82,894.00	83,894.50	1,000.50																																																																																										
															85,410.50	86,394.25	983.75																																																																																										
															87,910.50	88,894.25	983.75																																																																																										
															90,410.25	91,394.00	983.75																																																																																										
															92,910.00	93,893.75	983.75																																																																																										
															95,410.00	96,393.75	983.75																																																																																										
															97,893.00	98,893.50	1,000.50																																																																																										
															100,409.50	101,393.25	983.75																																																																																										
															102,909.50	103,893.00	983.50																																																																																										
															105,409.25	106,393.00	983.75																																																																																										
															107,909.00	108,892.75	983.75																																																																																										
															110,392.25	111,392.50	1,000.25																																																																																										
															112,908.75	113,892.50	983.75																																																																																										
															115,408.50	116,392.25	983.75																																																																																										
															117,908.25	118,892.00	983.75																																																																																										
															120,391.50	121,392.00	1,000.50																																																																																										
															122,908.00	123,891.75	983.75																																																																																										
															125,391.25	126,391.50	1,000.25																																																																																										
															127,907.75	128,891.25	983.50																																																																																										
															130,407.50	131,391.25	983.75																																																																																										
															132,890.75	133,891.00	1,000.25																																																																																										
															135,407.00	136,390.75	983.75																																																																																										
															137,890.25	138,890.75	1,000.50																																																																																										
															140,390.00	141,390.50	1,000.50																																																																																										
															142,906.50	143,890.25	983.75																																																																																										
															145,406.50	146,390.25	983.75																																																																																										
															147,906.25	148,890.00	983.75																																																																																										
															150,406.00	151,389.75	983.75																																																																																										
															152,906.00	153,889.50	983.50																																																																																										
															155,405.75	156,389.50	983.75																																																																																										
															157,889.00	158,889.25	1,000.25																																																																																										
															160,388.75	161,389.00	1,000.25																																																																																										
															162,905.25	163,889.00	983.75																																																																																										
															165,405.00	166,388.75	983.75																																																																																										
															167,904.75	168,888.50	983.75																																																																																										
															170,404.75	171,388.50	983.75																																																																																										
															172,887.75	173,888.25	1,000.50																																																																																										
															175,404.25	176,388.00	983.75																																																																																										
															177,904.25	178,887.75	983.50																																																																																										
															180,387.25	181,387.75	1,000.50																																																																																										
															182,903.75	183,887.50	983.75																																																																																										
															185,403.75	186,387.25	983.50																																																																																										
															187,886.75	188,887.25	1,000.50																																																																																										
															190,386.50	191,387.00	1,000.50																																																																																										
															192,903.00	193,886.75	983.75																																																																																										
															195,403.00	196,386.75	983.75																																																																																										
															197,902.75	198,886.50	983.75																																																																																										
															200,402.50	201,386.25	983.75																																																																																										
															202,885.75	203,886.00	1,000.25																																																																																										
															205,385.50	206,386.00	1,000.50																																																																																										
															207,885.50	208,885.75	1,000.25																																																																																										
															210,402.00	211,402.25	1,000.25																																																																																										
															212,901.75	213,902.00	1,000.25																																																																																										
															215,418.25	216,402.00	983.75																																																																																										
															217,901.25	218,901.75	1,000.50																																																																																										
															220,401.25	221,401.50	1,000.25																																																																																										
															222,917.75	223,901.50	983.75																																																																																										
															225,417.50	226,401.25	983.75																																																																																										
															227,900.75	228,901.00	1,000.25																																																																																										
															230,417.25	231,400.75	983.50																																																																																										
															232,917.00	233,900.75	983.75																																																																																										
															235,416.75	236,400.50	983.75																																																																																										
															237,900.00	238,900.25	1,000.25																																																																																										
															240,416.50	241,400.25	983.75																																																																																										
															242,916.25	243,900.00	983.75																																																																																										
															245,399.50	246,399.75	1,000.25																																																																																										
															247,899.25	248,899.75	1,000.50																																																																																										
															250,399.00	251,399.50	1,000.50																																																																																										
															252,899.00	253,899.25	1,000.25																																																																																										
															255,398.75	256,399.00	1,000.25																																																																																										
															257,898.50	258,899.00	1,000.50																																																																																										
															260,398.50	261,398.75	1,000.25																																																																																										
															262,898.25	263,898.50	1,000.25																																																																																										
															265,398.00	266,398.50	1,000.50																																																																																										
																																																																																																											
