Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															0.25	205.50	205.25																																																																																										
															18,237.00	18,371.00	134.00																																																																																										
															19,887.00	20,004.25	117.25																																																																																										
															21,503.50	21,637.50	134.00																																																																																										
															23,153.50	23,270.50	117.00																																																																																										
															24,770.00	24,903.75	133.75																																																																																										
															26,403.25	26,537.00	133.75																																																																																										
															28,036.50	28,170.25	133.75																																																																																										
															29,686.25	29,803.50	117.25																																																																																										
															31,319.50	31,436.75	117.25																																																																																										
															32,936.00	33,070.00	134.00																																																																																										
															34,569.25	34,703.25	134.00																																																																																										
															36,219.25	36,336.25	117.00																																																																																										
															37,852.50	37,969.50	117.00																																																																																										
															39,469.00	39,602.75	133.75																																																																																										
															41,118.75	41,252.75	134.00																																																																																										
															42,768.75	42,886.00	117.25																																																																																										
															44,402.00	44,519.25	117.25																																																																																										
															46,018.50	46,152.25	133.75																																																																																										
															47,651.75	47,785.50	133.75																																																																																										
															49,285.00	49,418.75	133.75																																																																																										
															50,934.75	51,068.75	134.00																																																																																										
															52,568.00	52,702.00	134.00																																																																																										
															54,201.25	54,335.00	133.75																																																																																										
															55,851.25	55,985.00	133.75																																																																																										
															57,501.00	57,618.25	117.25																																																																																										
															59,134.25	59,251.50	117.25																																																																																										
															60,750.75	60,884.75	134.00																																																																																										
															62,384.00	62,518.00	134.00																																																																																										
															64,034.00	64,167.75	133.75																																																																																										
															65,667.25	65,801.00	133.75																																																																																										
															67,317.00	67,434.25	117.25																																																																																										
															68,933.50	69,067.50	134.00																																																																																										
															70,583.50	70,700.75	117.25																																																																																										
															72,216.75	72,350.50	133.75																																																																																										
															73,850.00	73,983.75	133.75																																																																																										
															75,483.00	75,617.00	134.00																																																																																										
															77,116.25	77,250.25	134.00																																																																																										
															78,766.25	78,883.50	117.25																																																																																										
															80,399.50	80,516.75	117.25																																																																																										
															82,032.75	82,166.50	133.75																																																																																										
															83,682.50	83,799.75	117.25																																																																																										
															85,315.75	85,433.00	117.25																																																																																										
															86,949.00	87,066.25	117.25																																																																																										
															88,565.50	88,699.50	134.00																																																																																										
															90,215.50	90,332.50	117.00																																																																																										
															91,848.50	91,965.75	117.25																																																																																										
															93,465.25	93,599.00	133.75																																																																																										
															95,115.00	95,232.25	117.25																																																																																										
															96,748.25	96,882.25	134.00																																																																																										
															98,381.50	98,515.50	134.00																																																																																										
															100,031.50	100,148.50	117.00																																																																																										
															101,664.50	101,798.50	134.00																																																																																										
															103,314.50	103,431.75	117.25																																																																																										
															104,931.00	105,065.00	134.00																																																																																										
															106,581.00	106,698.25	117.25																																																																																										
															108,197.50	108,331.25	133.75																																																																																										
															109,847.25	109,981.25	134.00																																																																																										
															111,497.25	111,614.50	117.25																																																																																										
															113,113.75	113,247.75	134.00																																																																																										
															114,747.00	114,881.00	134.00																																																																																										
															116,380.25	116,514.00	133.75																																																																																										
															118,030.25	118,147.25	117.00																																																																																										
															119,663.25	119,780.50	117.25																																																																																										
															121,296.50	121,413.75	117.25																																																																																										
															122,929.75	123,047.00	117.25																																																																																										
															124,563.00	124,680.25	117.25																																																																																										
															126,179.50	126,313.50	134.00																																																																																										
															127,812.75	127,946.50	133.75																																																																																										
															129,446.00	129,579.75	133.75																																																																																										
															131,079.25	131,213.00	133.75																																																																																										
															132,712.50	132,846.25	133.75																																																																																										
															134,362.25	134,479.50	117.25																																																																																										
															135,979.00	136,112.75	133.75																																																																																										
															137,612.00	137,746.00	134.00																																																																																										
															139,245.25	139,379.25	134.00																																																																																										
															140,895.25	141,012.50	117.25																																																																																										
															142,528.50	142,645.50	117.00																																																																																										
															144,161.75	144,278.75	117.00																																																																																										
															145,794.75	145,912.00	117.25																																																																																										
															147,428.00	147,545.25	117.25																																																																																										
															149,044.75	149,178.50	133.75																																																																																										
