Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															0.25	123.00	122.75																																																																																										
															3,158.25	3,406.00	247.75																																																																																										
															4,924.75	5,172.75	248.00																																																																																										
															6,691.25	6,939.25	248.00																																																																																										
															8,457.75	8,705.75	248.00																																																																																										
															10,224.25	10,472.25	248.00																																																																																										
															11,990.75	12,238.75	248.00																																																																																										
															13,757.50	14,005.25	247.75																																																																																										
															15,507.25	15,755.25	248.00																																																																																										
															17,273.75	17,521.75	248.00																																																																																										
															19,023.75	19,288.25	264.50																																																																																										
															20,807.00	21,054.75	247.75																																																																																										
															22,556.75	22,804.75	248.00																																																																																										
															24,323.25	24,571.25	248.00																																																																																										
															26,090.00	26,337.75	247.75																																																																																										
															27,839.75	28,087.75	248.00																																																																																										
															29,606.25	29,854.25	248.00																																																																																										
															31,372.75	31,620.75	248.00																																																																																										
															33,122.75	33,387.25	264.50																																																																																										
															34,906.00	35,154.00	248.00																																																																																										
															36,672.50	36,920.50	248.00																																																																																										
															38,422.25	38,687.00	264.75																																																																																										
															40,189.00	40,453.50	264.50																																																																																										
															41,972.00	42,220.00	248.00																																																																																										
															43,738.75	43,986.50	247.75																																																																																										
															45,505.25	45,753.25	248.00																																																																																										
															47,271.75	47,519.75	248.00																																																																																										
															49,021.50	49,269.50	248.00																																																																																										
															50,788.25	51,036.00	247.75																																																																																										
															52,554.75	52,802.75	248.00																																																																																										
															54,321.25	54,569.25	248.00																																																																																										
															56,087.75	56,335.75	248.00																																																																																										
															57,854.25	58,102.25	248.00																																																																																										
															59,620.75	59,868.75	248.00																																																																																										
															61,370.75	61,635.25	264.50																																																																																										
															63,137.25	63,385.25	248.00																																																																																										
															64,903.75	65,151.75	248.00																																																																																										
															66,670.50	66,918.25	247.75																																																																																										
															68,437.00	68,684.75	247.75																																																																																										
															70,203.50	70,468.00	264.50																																																																																										
															71,970.00	72,218.00	248.00																																																																																										
															73,736.50	73,984.50	248.00																																																																																										
															75,503.00	75,751.00	248.00																																																																																										
															77,253.00	77,517.50	264.50																																																																																										
															79,036.25	79,284.00	247.75																																																																																										
															80,786.00	81,034.00	248.00																																																																																										
															82,552.50	82,800.50	248.00																																																																																										
															84,319.25	84,567.00	247.75																																																																																										
															86,085.75	86,333.50	247.75																																																																																										
															87,852.25	88,100.25	248.00																																																																																										
															89,618.75	89,866.75	248.00																																																																																										
															91,385.25	91,633.25	248.00																																																																																										
