Keypad 4 Onset	Keypad 4 Offset	Keypad 4 Duration	Keypad 3 Onset	Keypad 3 Offset	Keypad 3 Duration	Keypad 2 Onset	Keypad 2 Offset	Keypad 2 Duration	Keypad 1 Onset	Keypad 1 Offset	Keypad 1 Duration	Opto 4 Onset	Opto 4 Offset	Opto 4 Duration	Opto 3 Onset	Opto 3 Offset	Opto 3 Duration	Opto 2 Onset	Opto 2 Offset	Opto 2 Duration	Opto 1 Onset	Opto 1 Offset	Opto 1 Duration	TTL in 2 Onset	TTL in 2 Offset	TTL in 2 Duration	TTL in 1 Onset	TTL in 1 Offset	TTL in 1 Duration	Mic 2 Onset	Mic 2 Offset	Mic 2 Duration	Mic 1 Onset	Mic 1 Offset	Mic 1 Duration	Act close 4 Onset	Act close 4 Offset	Act close 4 Duration	Act close 3 Onset	Act close 3 Offset	Act close 3 Duration	Act close 2 Onset	Act close 2 Offset	Act close 2 Duration	Act close 1 Onset	Act close 1 Offset	Act close 1 Duration	TTL out 2 Onset	TTL out 2 Offset	TTL out 2 Duration	TTL out 1 Onset	TTL out 1 Offset	TTL out 1 Duration	Sounder 2 Onset	Sounder 2 Offset	Sounder 2 Duration	Sounder 1 Onset	Sounder 1 Offset	Sounder 1 Duration	TTLe in 8 Onset	TTLe in 8 Offset	TTLe in 8 Duration	TTLe in 7 Onset	TTLe in 7 Offset	TTLe in 7 Duration	TTLe in 6 Onset	TTLe in 6 Offset	TTLe in 6 Duration	TTLe in 5 Onset	TTLe in 5 Offset	TTLe in 5 Duration	TTLe in 4 Onset	TTLe in 4 Offset	TTLe in 4 Duration	TTLe in 3 Onset	TTLe in 3 Offset	TTLe in 3 Duration	TTLe in 2 Onset	TTLe in 2 Offset	TTLe in 2 Duration	TTLe in 1 Onset	TTLe in 1 Offset	TTLe in 1 Duration	TTLe out 8 Onset	TTLe out 8 Offset	TTLe out 8 Duration	TTLe out 7 Onset	TTLe out 7 Offset	TTLe out 7 Duration	TTLe out 6 Onset	TTLe out 6 Offset	TTLe out 6 Duration	TTLe out 5 Onset	TTLe out 5 Offset	TTLe out 5 Duration	TTLe out 4 Onset	TTLe out 4 Offset	TTLe out 4 Duration	TTLe out 3 Onset	TTLe out 3 Offset	TTLe out 3 Duration	TTLe out 2 Onset	TTLe out 2 Offset	TTLe out 2 Duration	TTLe out 1 Onset	TTLe out 1 Offset	TTLe out 1 Duration
															0.25	72.75	72.50																																																																																										
															2,422.25	2,456.00	33.75																																																																																										
															3,955.50	4,005.75	50.25																																																																																										
															5,522.25	5,538.75	16.50																																																																																										
															7,055.25	7,072.00	16.75																																																																																										
															8,588.50	8,622.25	33.75																																																																																										
															10,121.75	10,155.50	33.75																																																																																										
															11,671.75	11,705.25	33.50																																																																																										
															13,205.00	13,238.50	33.50																																																																																										
															14,754.75	14,805.00	50.25																																																																																										
															16,288.00	16,338.25	50.25																																																																																										
															17,854.50	17,888.25	33.75																																																																																										
															19,387.75	19,438.00	50.25																																																																																										
															20,954.50	20,988.00	33.50																																																																																										
															22,487.75	22,538.00	50.25																																																																																										
															24,037.50	24,071.00	33.50																																																																																										
															25,587.50	25,621.00	33.50																																																																																										
															27,120.75	27,171.00	50.25																																																																																										
															28,653.75	28,704.00	50.25																																																																																										
															30,220.50	30,237.00	16.50																																																																																										
															31,753.75	31,787.25	33.50																																																																																										
															33,303.50	33,337.00	33.50																																																																																										
															34,836.75	34,870.25	33.50																																																																																										
															36,386.75	36,437.00	50.25																																																																																										
															37,920.00	37,953.50	33.50																																																																																										
															39,469.75	39,503.25	33.50																																																																																										
															41,003.00	41,053.25	50.25																																																																																										
															42,569.50	42,603.00	33.50																																																																																										
															44,119.50	44,153.00	33.50																																																																																										
															45,652.75	45,703.00	50.25																																																																																										
															47,202.50	47,252.75	50.25																																																																																										
															48,752.50	48,786.00	33.50																																																																																										
															50,285.75	50,336.00	50.25																																																																																										
															51,835.50	51,869.25	33.75																																																																																										
															53,385.50	53,419.00	33.50																																																																																										
															54,935.25	54,969.00	33.75																																																																																										
															56,485.25	56,518.75	33.50																																																																																										
															58,018.50	58,052.00	33.50																																																																																										
															59,568.25	59,602.00	33.75																																																																																										
															61,118.25	61,151.75	33.50																																																																																										
															62,668.25	62,701.75	33.50																																																																																										
															64,201.50	64,251.75	50.25																																																																																										
															65,768.00	65,801.50	33.50																																																																																										
															67,301.25	67,334.75	33.50																																																																																										
															68,851.00	68,884.75	33.75																																																																																										
															70,401.00	70,434.50	33.50																																																																																										
															71,934.25	71,984.50	50.25																																																																																										
															73,500.75	73,534.25	33.50																																																																																										
															75,050.75	75,084.25	33.50																																																																																										
															76,583.75	76,617.50	33.75																																																																																										
															78,117.00	78,150.75	33.75																																																																																										
															79,667.00	79,700.50	33.50																																																																																										
															81,216.75	81,267.00	50.25																																																																																										
															82,766.75	82,800.25	33.50																																																																																										
															84,316.75	84,350.25	33.50																																																																																										
															85,866.50	85,900.00	33.50																																																																																										
															87,399.75	87,433.25	33.50																																																																																										
															88,933.00	88,966.50	33.50																																																																																										
															90,466.25	90,499.75	33.50																																																																																										
															92,016.00	92,049.75	33.75																																																																																										
															93,566.00	93,582.75	16.75																																																																																										
															95,116.00	95,132.50	16.50																																																																																										
															96,649.00	96,699.25	50.25																																																																																										
															98,199.00	98,232.50	33.50																																																																																										
															99,749.00	99,782.50	33.50																																																																																										
															101,282.25	101,332.50	50.25																																																																																										
															102,848.75	102,882.25	33.50																																																																																										
															104,382.00	104,415.50	33.50																																																																																										
															105,915.25	105,948.75	33.50																																																																																										
															107,465.00	107,498.50	33.50																																																																																										
															108,998.25	109,048.50	50.25																																																																																										
															110,564.75	110,598.50	33.75																																																																																										
															112,098.00	112,131.50	33.50																																																																																										
															113,648.00	113,681.50	33.50																																																																																										
															115,181.25	115,214.75	33.50																																																																																										
															116,731.00	116,747.75	16.75																																																																																										
															118,264.25	118,314.50	50.25																																																																																										
															119,814.25	119,847.75	33.50																																																																																										
															121,364.00	121,397.50	33.50																																																																																										
															122,897.25	122,930.75	33.50																																																																																										
															124,430.50	124,464.00	33.50																																																																																										
															125,980.50	126,014.00	33.50																																																																																										
															127,513.75	127,564.00	50.25																																																																																										
															129,046.75	129,080.50	33.75																																																																																										
															130,596.75	130,630.25	33.50																																																																																										
															132,130.00	132,163.50	33.50																																																																																										
															133,679.75	133,713.50	33.75																																																																																										
															135,213.00	135,246.75	33.75																																																																																										
															136,763.00	136,796.50	33.50																																																																																										
															138,313.00	138,346.50	33.50																																																																																										
															139,862.75	139,896.25	33.50																																																																																										
															141,396.00	141,446.25	50.25																																																																																										
															142,946.00	142,979.50	33.50																																																																																										
															144,495.75	144,529.25	33.50																																																																																										
															146,029.00	146,079.25	50.25																																																																																										
															147,579.00	147,612.50	33.50																																																																																										
															149,112.00	149,162.25	50.25																																																																																										
															150,662.00	150,678.75	16.75																																																																																										
															152,195.25	152,228.75	33.50																																																																																										
															153,745.25	153,778.75	33.50																																																																																										
															155,295.00	155,328.50	33.50																																																																																										
